"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : يجب عليك تكوين وحدة المبيعات للشركة %s",,,
"%s has been added to your cart.","%s تمت إضافته إلى سلة التسوق الخاصة بك.",,,
"SaleOrder.totalDiscount","إجمالي الخصم لأمر البيع",,,
"SaleOrder.totalExclTax","الإجمالي بدون ضريبة لأمر البيع",,,
"SaleOrder.totalExclTaxWithoutDiscount","الإجمالي بدون ضريبة وبدون خصم لأمر البيع",,,
"SaleOrder.totalInclTax","الإجمالي شامل الضريبة لأمر البيع",,,
"SaleOrder.totalTax","إجمالي الضريبة لأمر البيع",,,
"SaleOrder.totalTaxes","إجمالي الضرائب لأمر البيع",,,
"SaleOrder.type","نوع أمر البيع",,,
"SaleOrder.unitPrice","سعر الوحدة لأمر البيع",,,
"SaleOrder.validityDate","تاريخ صلاحية أمر البيع",,,
"SaleOrderLine.endOfPack","نهاية الحزمة لسطر أمر البيع",,,
"SaleOrderLine.total","الإجمالي لسطر أمر البيع",,,
"Sales","المبيعات",,,
"Sales Manager","مدير المبيعات",,,
"Sales Manager Details","تفاصيل مدير المبيعات",,,
"Sales Order filters","مرشحات أمر المبيعات",,,
"Sales TurnOver by Product this year vs last year","حجم المبيعات حسب المنتج هذا العام مقابل العام الماضي",,,
"Sales Turnover (Orders) by month by category","حجم المبيعات (الطلبات) شهريًا حسب الفئة",,,
"Sales Turnover This year vs Last year","حجم المبيعات هذا العام مقابل العام الماضي",,,
"Sales Turnover YTD vs Last year by Product Accounting Family","حجم المبيعات حتى الآن مقابل العام الماضي حسب عائلة محاسبة المنتج",,,
"Sales distribution per product accounting family","توزيع المبيعات حسب عائلة محاسبة المنتج",,,
"Sales distribution per product category","توزيع المبيعات حسب فئة المنتج",,,
"Sales follow-up","متابعة المبيعات",,,
"Sales order","أمر المبيعات",,,
"Sales per country","المبيعات حسب الدولة",,,
"Sales turnover comparison per month this year vs past years","مقارنة حجم المبيعات شهريًا هذا العام مقابل السنوات الماضية",,,
"Sales turnover comparison per month this year vs past years by accounting family","مقارنة حجم المبيعات شهريًا هذا العام مقابل السنوات الماضية حسب عائلة المحاسبة",,,
"Sales turnover this year vs last year","حجم المبيعات هذا العام مقابل العام الماضي",,,
"Sales turnover this year vs past years","حجم المبيعات هذا العام مقابل السنوات الماضية",,,
"Sales unit","وحدة المبيعات",,,
"Salesperson","مندوب المبيعات",,,
"Salesperson Details","تفاصيل مندوب المبيعات",,,
"Save actual version","حفظ الإصدار الحالي",,,
"See quotation lines","عرض أسطر عرض السعر",,,
"See sale orders lines","عرض أسطر أوامر البيع",,,
"See stock details","عرض تفاصيل المخزون",,,
"Select this optional complementary product","تحديد هذا المنتج التكميلي الاختياري",,,
"Selected","المحدد",,,
"Send email","إرسال بريد إلكتروني",,,
"Separate in a new quotation","فصل في عرض سعر جديد",,,
"Seq.","التسلسل",,,
"Shipping costs","تكاليف الشحن",,,
"Short legal note to be displayed on sales order","ملاحظة قانونية قصيرة ليتم عرضها على أمر المبيعات",,,
"Show Total","إظهار الإجمالي",,,
"Show on configurator","إظهار في المُكوّن",,,
"Show total","إظهار الإجمالي",,,
"So line creator","منشئ سطر أمر البيع",,,
"Specific notes","ملاحظات محددة",,,
"Specific package","حزمة محددة",,,
"Specific tax note","ملاحظة ضريبية محددة",,,
"Specify a boolean expression to collapse/expend this panel.","تحديد تعبير منطقي لطي/توسيع هذه اللوحة.",,,
"Specify the default span for child items. Default value is 6.","تحديد الامتداد الافتراضي للعناصر الفرعية. القيمة الافتراضية هي 6.",,,
"Specify the number of columns taken by the widget (1,2,..12). Default value is 6.","تحديد عدد الأعمدة التي يشغلها عنصر الواجهة (1,2,..12). القيمة الافتراضية هي 6.",,,
"Specify whether given custom field is panel-tab or not. Default value is false (true or false).","تحديد ما إذا كان الحقل المخصص هو علامة تبويب لوحة أم لا. القيمة الافتراضية هي false (true أو false).",,,
"Specify whether the panel is collapsible. Default value is false (true or false).","تحديد ما إذا كانت اللوحة قابلة للطي. القيمة الافتراضية هي false (true أو false).",,,
"Specify whether to show the title. Default value is true (true or false).","تحديد ما إذا كان سيتم عرض العنوان. القيمة الافتراضية هي true (true أو false).",,,
"Standard","قياسي",,,
"Standard operation like +, -, *, / can be used and will work correctly with BigDecimal.","يمكن استخدام العمليات القياسية مثل +، -، *، / وستعمل بشكل صحيح مع BigDecimal.",,,
"Standard: Display sale order lines the classic way.<br>Editable: This configuration enables you to activate an editable grid on quotation / sales order lines, allowing you to quickly add and complete quotation lines from the grid view.<br>Editable tree: Activate multi-level sale order lines.<br>Tree line: Activate multi-level sale order lines. (Older version of the Editable tree display. Will be removed in the next version.)","قياسي: عرض أسطر أمر المبيعات بالطريقة التقليدية.<br> قابل للتعديل: يتيح هذا التكوين تفعيل شبكة قابلة للتعديل على أسطر عرض الأسعار / أوامر البيع، مما يتيح لك إضافة وإكمال أسطر عرض الأسعار بسرعة من عرض الشبكة.<br> شجرة قابلة للتعديل: تفعيل أسطر أوامر البيع متعددة المستويات.<br> خط الشجرة: تفعيل أسطر أوامر البيع متعددة المستويات. (إصدار أقدم من عرض الشجرة القابل للتعديل. سيتم إزالته في الإصدار التالي.)",,,
"Start date","تاريخ البدء",,,
"Status","الحالة",,,
"Stock Moves","تحركات المخزون",,,
"Stock location","موقع المخزون",,,
"Stock moves","تحركات المخزون",,,
"String","سلسلة نصية",,,
"String interpolation can also be used","يمكن أيضًا استخدام استبدال السلاسل النصية",,,
"Sub Total gross profit","إجمالي الربح الفرعي",,,
"Sub Total markup","إجمالي هامش الربح الفرعي",,,
"Sub margin rate","معدل الهامش الفرعي",,,
"SubTotal cost price","السعر الإجمالي الفرعي للتكلفة",,,
"Subscription","الاشتراك",,,
"Subscription text to display","نص الاشتراك لعرضه",,,
"Supplier","المورد",,,
"Tacit agreement","اتفاق ضمني",,,
"Target custom model","نموذج مخصص مستهدف",,,
"Tax","الضريبة",,,
"Tax Equiv","ما يعادل الضريبة",,,
"Tax Lines","أسطر الضريبة",,,
"Tax number","رقم الضريبة",,,
"Tax type","نوع الضريبة",,,
"Taxes","الضرائب",,,
"Team","الفريق",,,
"Template","القالب",,,
"Template created by","القالب تم إنشاؤه بواسطة",,,
"Templates","القوالب",,,
"Test this creator","اختبار هذا المنشئ",,,
"The client Partner is required and must be the same for all sale orders","العميل الشريك مطلوب ويجب أن يكون نفسه لجميع أوامر البيع",,,
"The client provided is not a customer of the given company: %s.","العميل المقدم ليس عميلاً للشركة المحددة: %s.",,,
"The company %s doesn't have any configured sequence for sale orders","الشركة %s لا تحتوي على أي تسلسل مهيأ لأوامر البيع",,,
"The company configuration doesn't allow you to manage the exclusion or inclusion of taxes.","إعدادات الشركة لا تسمح لك بإدارة استبعاد أو تضمين الضرائب.",,,
"The company is required and must be the same for all sale orders","الشركة مطلوبة ويجب أن تكون نفسها لجميع أوامر البيع",,,
"The contact provided is not a contact partner of the client.","جهة الاتصال المقدمة ليست شريك اتصال للعميل.",,,
"The currency is required and must be the same for all sale orders","العملة مطلوبة ويجب أن تكون نفسها لجميع أوامر البيع",,,
"The field %s is of type %s, but the configured script returned value is of type %s.","الحقل %s هو من النوع %s، ولكن البرنامج النصي المهيأ أرجع قيمة من النوع %s.",,,
"The fiscal position must be the same for all sale orders","الوضع المالي يجب أن يكون نفسه لجميع أوامر البيع",,,
"The partner's language is different from the current language. Description and product name are in :","لغة الشريك مختلفة عن اللغة الحالية. الوصف واسم المنتج هما بـ :",,,
"The sale order was canceled","تم إلغاء أمر البيع",,,
"The script must be written in","يجب كتابة البرنامج النصي بلغة",,,
"The selected price list is no longer valid, do you still want to continue?","القائمة السعرية المحددة لم تعد صالحة، هل ترغب في المتابعة؟",,,
"The syntax of the script is correct.","بناء الجملة في البرنامج النصي صحيح.",,,
"The tax number must be the same for all sale orders","رقم الضريبة يجب أن يكون نفسه لجميع أوامر البيع",,,
"The total amount of quotation is zero. Do you want to proceed ?","المبلغ الإجمالي للعرض يساوي صفرًا. هل تريد المتابعة؟",,,
"The width can be specified as percentage or fixed value.The fix width can be either in 'px' or 'em', 'px' is assumed if not specified.","يمكن تحديد العرض كنسبة مئوية أو كقيمة ثابتة. يمكن أن يكون العرض الثابت إما بوحدة 'px' أو 'em'، ويتم افتراض 'px' إذا لم يتم تحديده.",,,
"There are lines with a discount superior to the maximal authorized discount.","هناك أسطر بخصم يتجاوز الحد الأقصى المسموح به.",,,
"This Year To Date","منذ بداية هذا العام",,,
"This configuration blocks the creation of orders, or ignores missing products, if there are products missing from the cart.","يمنع هذا التكوين إنشاء الطلبات، أو يتجاهل المنتجات المفقودة، إذا كانت هناك منتجات مفقودة من السلة.",,,
"This configuration enables you to recalculate line prices using a quotation. The recalculation will take into account pricing, if any, then the partner's price lists.","يتيح لك هذا التكوين إعادة حساب أسعار الأسطر باستخدام عرض سعر. ستأخذ إعادة الحساب في الاعتبار التسعير، إن وجد، ثم قوائم أسعار الشريك.",,,
"This product currency is empty: %s","العملة لهذا المنتج فارغة: %s",,,
"This sale order is completed.","اكتمل أمر البيع هذا.",,,
"This script has errors, please see server logs for more details.","يحتوي هذا البرنامج النصي على أخطاء، يرجى مراجعة سجلات الخادم لمزيد من التفاصيل.",,,
"This script returned value is of type %s, it should return a value of type %s instead.","أرجع هذا البرنامج النصي قيمة من النوع %s، وكان يجب أن يرجع قيمة من النوع %s بدلاً من ذلك.",,,
"Timetable","الجدول الزمني",,,
"Title","العنوان",,,
"To Date","حتى اليوم",,,
"Tools","الأدوات",,,
"Total A.T.I.","الإجمالي شامل جميع الضرائب",,,
"Total A.T.I. in company currency","الإجمالي شامل جميع الضرائب بعملة الشركة",,,
"Total V.A.T.","إجمالي ضريبة القيمة المضافة",,,
"Total W.T.","الإجمالي بعد الضريبة",,,
"Total W.T. in company currency","الإجمالي بعد الضريبة بعملة الشركة",,,
"Total cost","إجمالي التكلفة",,,
"Total cost in company currency","إجمالي التكلفة بعملة الشركة",,,
"Total cost price","إجمالي سعر التكلفة",,,
"Total order amount per salesman","إجمالي مبلغ الطلب لكل مندوب مبيعات",,,
"Total price","الإجمالي",,,
"Total quantity sold","إجمالي الكمية المباعة",,,
"Total stock","إجمالي المخزون",,,
"Total tax","إجمالي الضريبة",,,
"Trading name","الاسم التجاري",,,
"Tree line","خط الشجرة",,,
"TurnOver","حجم المبيعات",,,
"Turnover","حجم المبيعات",,,
"Turnover (excl. Tax) per team","حجم المبيعات (باستثناء الضرائب) لكل فريق",,,
"Turnover Study","دراسة حجم المبيعات",,,
"Turnover per customer category","حجم المبيعات حسب فئة العميل",,,
"Turnover per customer sector","حجم المبيعات حسب قطاع العميل",,,
"Turnover per customer type","حجم المبيعات حسب نوع العميل",,,
"Turnover per month per salesman","حجم المبيعات شهريًا لكل مندوب مبيعات",,,
"Type","النوع",,,
"Unit","الوحدة",,,
"Unit cost","تكلفة الوحدة",,,
"Unit cost price in company currency","سعر تكلفة الوحدة بعملة الشركة",,,
"Unit price","سعر الوحدة",,,
"Unit price A.T.I.","سعر الوحدة شامل جميع الضرائب",,,
"Unit price W.T.","سعر الوحدة بعد الضريبة",,,
"Unit price discounted","سعر الوحدة بعد الخصم",,,
"Unrenewed","غير مجدد",,,
"Unselect this optional complementary product","إلغاء تحديد هذا المنتج التكميلي الاختياري",,,
"Update customer's accepted credit","تحديث الائتمان المقبول للعميل",,,
"Update from","التحديث من",,,
"Update from configurator","التحديث من المُكوّن",,,
"Update from product","التحديث من المنتج",,,
"User","المستخدم",,,
"User assigned to customer","المستخدم المعين للعميل",,,
"User to fill salesperson","المستخدم لملء مندوب المبيعات",,,
"Validate and generate the line","التحقق وإنشاء السطر",,,
"Validate changes","التحقق من التغييرات",,,
"Validated","تم التحقق",,,
"Validity duration","مدة الصلاحية",,,
"Validity duration per default","مدة الصلاحية الافتراضية",,,
"Value","القيمة",,,
"Version Number","رقم الإصدار",,,
"Version date","تاريخ الإصدار",,,
"Version number","رقم الإصدار",,,
"View","عرض",,,
"WT","بعد الضريبة",,,
"Warning, a completed order can't be changed anymore, do you want to continue?","تحذير، لا يمكن تغيير الطلب المكتمل بعد الآن، هل تريد المتابعة؟",,,
"Warning, you can't create a sub element in a product.","تحذير، لا يمكنك إنشاء عنصر فرعي داخل منتج.",,,
"Warning, you're trying to remove an element that have children, by removing this element, their children are going to be removed as well.","تحذير، أنت تحاول إزالة عنصر يحتوي على عناصر فرعية، سيتم إزالة العناصر الفرعية أيضًا عند إزالة هذا العنصر.",,,
"Watch out, a sale order was already created with this external reference.","تحذير، تم إنشاء أمر بيع بالفعل بهذا المرجع الخارجي.",,,
"Weekly","أسبوعي",,,
"When activated, the total margin of a sale order will take into account sale order lines where the cost price or the sale price is zero.","عند التفعيل، سيتم احتساب هامش الربح الإجمالي لأمر البيع مع الأخذ في الاعتبار الأسطر التي يكون فيها سعر التكلفة أو سعر البيع صفرًا.",,,
"Widget Attributes","خصائص الودجت",,,
"Word","كلمة",,,
"Workshop","ورشة العمل",,,
"Year","السنة",,,
"Year 1 To Date","السنة 1 حتى الآن",,,
"Year 2 To Date","السنة 2 حتى الآن",,,
"Yearly","سنوي",,,
"You are using a product for which the '%s' pricing should be applied.</br>However, it could not be applied.</br>Please check your pricing if this does not seem normal.","أنت تستخدم منتجًا يجب تطبيق تسعير '%s' عليه.</br>ولكن لم يتمكن من التطبيق.</br>يرجى التحقق من التسعير إذا كان هذا لا يبدو طبيعيًا.",,,
"You can either generate an empty project, a project with sub-projects or a project with tasks. When generating sub-projects or tasks, one element will be created for each sale order line with a service-type product that has ""Produce"" as its supply method (Configuration tab). Subtasks models are filled in the Product form when the corresponding configuration is active in Business Project module configuration.","يمكنك إما إنشاء مشروع فارغ، أو مشروع يحتوي على مشاريع فرعية، أو مشروع يحتوي على مهام. عند إنشاء مشاريع فرعية أو مهام، سيتم إنشاء عنصر لكل سطر في أمر البيع يحتوي على منتج من نوع الخدمة الذي لديه طريقة توريد ""الإنتاج"" (في علامة تبويب التكوين). يتم ملء نماذج المهام الفرعية في نموذج المنتج عندما يكون التكوين المقابل نشطًا في إعدادات وحدة مشروع الأعمال.",,,
"You can not choose this product for this order: %s","لا يمكنك اختيار هذا المنتج لهذا الطلب: %s",,,
"You can not create sale order as some products are not in stock.","لا يمكنك إنشاء أمر بيع حيث أن بعض المنتجات غير متوفرة في المخزون.",,,
"You can only add a line to a draft sale order.","يمكنك فقط إضافة سطر إلى أمر بيع في المسودة.",,,
"You have to choose at least one sale order","يجب عليك اختيار أمر بيع واحد على الأقل",,,
"You have to choose at least one sale quotation","يجب عليك اختيار عرض سعر واحد على الأقل",,,
"You must configure a script to fill the created product code.","يجب عليك تكوين برنامج نصي لملء كود المنتج الذي تم إنشاؤه.",,,
"You must configure a script to fill the created product name.","يجب عليك تكوين برنامج نصي لملء اسم المنتج الذي تم إنشاؤه.",,,
"You must configure a script to fill the product name in the created sale order line.","يجب عليك تكوين برنامج نصي لملء اسم المنتج في سطر أمر البيع الذي تم إنشاؤه.",,,
"You must fill a partner for the opportunity %s.","يجب عليك ملء شريك للفرصة %s.",,,
"copy","نسخ",,,
"gives access to a repository with the same syntax as the repositories in java","يوفر الوصول إلى مستودع بنفس بناء الجملة المستخدم في مستودعات Java",,,
"gives access to connected user.","يوفر الوصول إلى المستخدم المتصل.",,,
"gives access to the id of parent sale order (when adding a sale order line with this configurator)","يوفر الوصول إلى معرف أمر البيع الرئيسي (عند إضافة سطر أمر بيع باستخدام هذا المُكوّن)",,,
"gives access to today date and","يوفر الوصول إلى تاريخ اليوم و",,,
"import.verb","استيراد",,,
"is used for concatenation","يستخدم للربط",,,
"sale.quantity","كمية البيع",,,
"searching Partners that are suppliers and with a name starting with “A”","البحث عن الشركاء الذين هم موردون ولديهم اسم يبدأ بحرف “A”",,,
"searching for Product with id = 1:","البحث عن منتج بمعرف = 1:",,,
"searching for ProductFamily with the code ‘SERV’","البحث عن فئة المنتج بالكود ‘SERV’",,,
"to current date time.","إلى تاريخ ووقت اليوم.",,,
"value:Sale","قيمة:البيع",,,
