"key","message","comment","context"
"No inventory lines has been created.","لم يتم إنشاء أي خطوط جرد.",,,
"No move lines to split","لا توجد خطوط حركة للتقسيم",,,
"No new stock move was generated","لم يتم إنشاء أي حركة مخزون جديدة",,,
"No record found","لم يتم العثور على سجل",,,
"No reversion generated","لم يتم إنشاء أي انعكاس",,,
"No stock correction needed, current quantity in stock equals real quantity.","لا يلزم تصحيح المخزون، الكمية الحالية في المخزون تساوي الكمية الفعلية.",,,
"No stock location has been selected.","لم يتم تحديد أي موقع مخزون.",,,
"No stock moves found for this inventory.","لم يتم العثور على أي حركات مخزون لهذا الجرد.",,,
"Non temporary implying transfer of property without compensation","غير مؤقت يتضمن نقل الملكية بدون تعويض",,,
"Non-compliant","غير متوافق",,,
"Not invoiced","غير مفوتر",,,
"Note","ملاحظة",,,
"Notes","ملاحظات",,,
"Number Of Packages","عدد الطرود",,,
"Number Of Palettes","عدد المنصات",,,
"Number of customer deliveries","عدد تسليمات العملاء",,,
"Number of periods","عدد الفترات",,,
"Number of pieces","عدد القطع",,,
"Old qty","الكمية القديمة",,,
"OnTime Deliveries","التسليمات في الوقت المحدد",,,
"Operation after custom work return to initial state","العملية بعد عودة العمل المخصص إلى الحالة الأولية",,,
"Operation after custom work return to other state","العملية بعد عودة العمل المخصص إلى حالة أخرى",,,
"Operations for custom work non return","العمليات للعمل المخصص بدون عودة",,,
"Operations for custom work return","العمليات للعمل المخصص مع عودة",,,
"Origin","الأصل",,,
"Origin inventory line","خط جرد الأصل",,,
"Origin stock move","حركة المخزون الأصلية",,,
"Origin stock move line","خط حركة المخزون الأصلية",,,
"Other expeditions","بعثات أخرى",,,
"Other introductions","إدخالات أخرى",,,
"Other returns","إرجاع أخرى",,,
"Other transactions","معاملات أخرى",,,
"Outgoing amount","المبلغ الصادر",,,
"Outgoing move","حركة صادرة",,,
"Outgoing move information","معلومات الحركة الصادرة",,,
"Outgoing move lines","خطوط الحركة الصادرة",,,
"Outgoing quantity","الكمية الصادرة",,,
"Outsourcing receipt stock location","موقع مخزون استلام الاستعانة بمصادر خارجية",,,
"Own propulsion","الدفع الذاتي",,,
"PFP authorized","PFP معتمد",,,
"PFP litigation","نزاع PFP",,,
"Packing line","خط التعبئة",,,
"Packing lines","خطوط التعبئة",,,
"Pallet","منصة",,,
"Pallet %d is empty.","المنصة %d فارغة.",,,
"Parcel","طرد",,,
"Parcel %d is empty.","الطرد %d فارغ.",,,
"Parcel/pallet number","رقم الطرد/المنصة",,,
"Parent customs code","رمز الجمارك الرئيسي",,,
"Parent stock location","موقع المخزون الرئيسي",,,
"Partial stock move (From","حركة مخزون جزئية (من",,,
"Partially available","متاح جزئيًا",,,
"Partially invoiced","تمت الفوترة جزئيًا",,,
"Partner","الشريك",,,
"Partner is missing.","الشريك مفقود.",,,
"Partner mismatch: %s","عدم تطابق الشريك: %s",,,
"Partner product quality rating","تقييم جودة منتج الشريك",,,
"Partner product quality ratings","تقييمات جودة منتجات الشريك",,,
"Partner stock settings","إعدادات مخزون الشريك",,,
"Period","الفترة",,,
"Perishable","قابل للتلف",,,
"Perishable expiration date","تاريخ انتهاء صلاحية المنتج القابل للتلف",,,
"Pick","الالتقاط",,,
"Pick all / the rest","التقاط الكل / الباقي",,,
"Pick products","التقاط المنتجات",,,
"Picked","تم الالتقاط",,,
"Picked product","المنتج المُلتقط",,,
"Picked products","المنتجات المُلتقطة",,,
"Picked qty","الكمية المُلتقطة",,,
"Picked qty / Qty to pick","الكمية المُلتقطة / الكمية المطلوب التقاطها",,,
"Picking order edit date","تاريخ تعديل أمر الانتقاء",,,
"Picking order has been edited for this stock move, it can not be canceled.","تم تعديل أمر الانتقاء لهذه الحركة المخزنية، لا يمكن إلغاؤه.",,,
"Picking order is edited","تم تعديل أمر الانتقاء",,,
"Picking order printing detailed","تفاصيل طباعة أمر الانتقاء",,,
"Picking printed","تمت طباعة أمر الانتقاء",,,
"Picking stock move template","نموذج حركة المخزون للانتقاء",,,
"PickingStockMove.aspect","جانب حركة الانتقاء",,,
"PickingStockMove.code","كود حركة الانتقاء",,,
"PickingStockMove.customerCode","كود العميل لحركة الانتقاء",,,
"PickingStockMove.deliveryCondition","شرط التسليم لحركة الانتقاء",,,
"PickingStockMove.externalReference","المرجع الخارجي لحركة الانتقاء",,,
"PickingStockMove.lineNumber","رقم السطر لحركة الانتقاء",,,
"PickingStockMove.manual","يدوي لحركة الانتقاء",,,
"PickingStockMove.mark","علامة حركة الانتقاء",,,
"PickingStockMove.note","ملاحظة حركة الانتقاء",,,
"PickingStockMove.qty","كمية حركة الانتقاء",,,
"PickingStockMove.signaling","إشارة حركة الانتقاء",,,
"PickingStockMove.visa","تأشيرة حركة الانتقاء",,,
"PickingStockMove.weekCode","كود الأسبوع لحركة الانتقاء",,,
"PickingStockMove.withWithout","مع / بدون لحركة الانتقاء",,,
"Pickup default stock location","موقع المخزون الافتراضي للالتقاط",,,
"Plan","الخطة",,,
"Planned","مخطط",,,
"Planned End Date","تاريخ الانتهاء المخطط",,,
"Planned Inventories","الجرد المخطط",,,
"Planned Start Date","تاريخ البدء المخطط",,,
"Planned move","الحركة المخططة",,,
"Planned stock move","حركة المخزون المخططة",,,
"Planned stock move line list","قائمة خطوط حركة المخزون المخططة",,,
"Planned stock move lines","خطوط حركة المخزون المخططة",,,
"Please add a quality control default stock location for company %s in the app stock configuration","يرجى إضافة موقع مخزون افتراضي لمراقبة الجودة للشركة %s في إعدادات تطبيق المخزون",,,
"Please configure mass units for this product packing : %s","يرجى تكوين وحدات الكتلة لتعبئة هذا المنتج: %s",,,
"Please enter a valid split quantity","يرجى إدخال كمية تقسيم صالحة",,,
"Please fill all inventory lines","يرجى تعبئة جميع أسطر الجرد",,,
"Please fill estimated delivery date for product %s from %s","يرجى تعبئة تاريخ التسليم المقدر للمنتج %s من %s",,,
"Please fill in the delivery (to) address to get the delivery itinerary.","يرجى تعبئة عنوان التسليم (إلى) للحصول على مسار التسليم.",,,
"Please fill in the source (from) location address to get the delivery itinerary.","يرجى تعبئة عنوان الموقع المصدر (من) للحصول على مسار التسليم.",,,
"Please fill printing settings on following stock moves: ${__repo__(StockMove).all().filter('self.id IN ?1 AND self.printingSettings IS NULL', id?:_ids).fetch()?.collect{it.stockMoveSeq}?.join(', ')}","يرجى تعبئة إعدادات الطباعة لحركات المخزون التالية: ${__repo__(StockMove).all().filter('self.id IN ?1 AND self.printingSettings IS NULL', id?:_ids).fetch()?.collect{it.stockMoveSeq}?.join(', ')}",,,
"Please fill printing settings on following stock moves: %s","يرجى تعبئة إعدادات الطباعة لحركات المخزون التالية: %s",,,
"Please fill the conformity for the product(s) : %s","يرجى تعبئة بيانات المطابقة للمنتج (المنتجات) : %s",,,
"Please fill the tracking number for the product(s) : %s","يرجى تعبئة رقم التتبع للمنتج (المنتجات) : %s",,,
"Please fill unit for the stock location line in %s for the product %s.","يرجى تعبئة الوحدة لخط موقع المخزون في %s للمنتج %s.",,,
"Please fill unit for the stock location line with tracking number %s in %s for the product %s.","يرجى تعبئة الوحدة لخط موقع المخزون برقم التتبع %s في %s للمنتج %s.",,,
"Please filled supplier shipment date and supplier shipment reference.","يرجى تعبئة تاريخ شحنة المورد ومرجع الشحنة.",,,
"Please indicate a new quantity.","يرجى تحديد كمية جديدة.",,,
"Please select at least 2 stock moves","يرجى اختيار ما لا يقل عن حركتي مخزون",,,
"Please select lines to split","يرجى اختيار الأسطر للتقسيم",,,
"Please select the Stock Location(s) to print.","يرجى اختيار مواقع المخزون للطباعة.",,,
"Please select the StockMove(s) to print.","يرجى اختيار حركات المخزون للطباعة.",,,
"Please select the stock move(s) to print","يرجى اختيار حركات المخزون للطباعة.",,,
"Please set an economic are in AppStock.","يرجى تحديد منطقة اقتصادية في AppStock.",,,
"Prepare","تحضير",,,
"Prepare products to move","تحضير المنتجات للنقل",,,
"Price","السعر",,,
"Price history","تاريخ السعر",,,
"Price used for WAP","السعر المستخدم لـ WAP",,,
"Print","طباعة",,,
"Print Incoming Move","طباعة حركة المخزون الواردة",,,
"Print Internal Move","طباعة حركة المخزون الداخلية",,,
"Print Outgoing Move","طباعة حركة المخزون الصادرة",,,
"Print Picking StockMove(s)","طباعة اختيار حركات المخزون",,,
"Print StockMove(s)","طباعة حركات المخزون",,,
"Print certificate of conformity","طباعة شهادة المطابقة",,,
"Print packing list","طباعة قائمة التعبئة",,,
"Print picking order","طباعة أمر الانتقاء",,,
"Printing Type","نوع الطباعة",,,
"Printing settings","إعدادات الطباعة",,,
"Printing template","نموذج الطباعة",,,
"Printings","الطباعة",,,
"Product","المنتج",,,
"Product Code","رمز المنتج",,,
"Product Name","اسم المنتج",,,
"Product cannot be null.","لا يمكن أن يكون المنتج فارغًا.",,,
"Product category","فئة المنتج",,,
"Product code","رمز المنتج",,,
"Product deliveries in qty by country","تسليمات المنتج حسب الكمية لكل دولة",,,
"Product deliveries in qty by country by accounting family","تسليمات المنتج حسب الكمية لكل دولة حسب فئة المحاسبة",,,
"Product description","وصف المنتج",,,
"Product model","نموذج المنتج",,,
"Product name","اسم المنتج",,,
"Product quantity in other stock locations","كمية المنتج في مواقع المخزون الأخرى",,,
"Product to pick","المنتج للاختيار",,,
"Product tracking number","رقم تتبع المنتج",,,
"Product type","نوع المنتج",,,
"Product's stocks %s (%s) are not in sufficient quantity to realize the delivery","مخزون المنتج %s (%s) غير كافٍ لتنفيذ التسليم",,,
"Product's stocks %s (%s) exceeds maximum stock rules.","مخزون المنتج %s (%s) يتجاوز قواعد الحد الأقصى للمخزون.",,,
"Product's stocks %s (%s), tracking number %s are not in sufficient quantity to realize the delivery","مخزون المنتج %s (%s)، رقم التتبع %s غير كافٍ لتنفيذ التسليم",,,
"Production Qty by tracking","كمية الإنتاج حسب التتبع",,,
"Production Stock Move in Planned","حركة المخزون الإنتاجية المخططة",,,
"Production Stock Move out Planned","حركة المخزون الإنتاجية المخططة للخروج",,,
"Production stock move in realized","حركة المخزون الإنتاجية المكتملة",,,
"Production stock move out realized","حركة المخزون الإنتاجية المكتملة للخروج",,,
"Production tracking management","إدارة تتبع الإنتاج",,,
"Products","المنتجات",,,
"Products to move","المنتجات للنقل",,,
"Products whose future quantity is less than the minimum quantity allowed","المنتجات التي تقل كميتها المستقبلية عن الحد الأدنى المسموح به",,,
"Products.items","عناصر المنتجات",,,
"Profile","الملف الشخصي",,,
"Provision","الإمداد",,,
"Purchase Qty by tracking","كمية الشراء حسب التتبع",,,
"Purchase order","أمر الشراء",,,
"Purchase price","سعر الشراء",,,
"Purchase price in company currency, used for declaration of exchange.","سعر الشراء بعملة الشركة، يستخدم للإبلاغ عن الصرف.",,,
"Purchase tracking management","إدارة تتبع المشتريات",,,
"Purchase value","قيمة الشراء",,,
"Qty","الكمية",,,
"Qty to pick","الكمية للاختيار",,,
"Quality control default stock location","الموقع الافتراضي لمراقبة الجودة في المخزون",,,
"Quality rating","تقييم الجودة",,,
"Quantities","الكميات",,,
"Quantity","الكمية",,,
"Quantity in database","الكمية في قاعدة البيانات",,,
"Quantity is required on line %d.","يجب إدخال الكمية في السطر %d.",,,
"Rack","الرف",,,
"Racks range","مدى الأرفف",,,
"Real Qty","الكمية الحقيقية",,,
"Real Quantity","الكمية الحقيقية",,,
"Real qty","الكمية الحقيقية",,,
"Real qty updated;","تم تحديث الكمية الحقيقية",,,
"Real quantity must not be equal to 0 and should be less than expected quantity.","يجب ألا تكون الكمية الحقيقية مساوية لـ 0 ويجب أن تكون أقل من الكمية المتوقعة.",,,
"Real quantity problem","مشكلة في الكمية الحقيقية",,,
"Real valuation","التقييم الفعلي",,,
"Real/Current Quantity","الكمية الفعلية/الحالية",,,
"Realize","تنفيذ",,,
"Realize picking","تنفيذ الانتقاء",,,
"Realize stock moves upon parcel/pallet collection","تنفيذ حركات المخزون عند تجميع الطرود/المنصات",,,
"Realize storing","تنفيذ التخزين",,,
"Realized","تم التنفيذ",,,
"Realized stock move lines","أسطر حركة المخزون المنفذة",,,
"Reason","السبب",,,
"Reason updated;","تم تحديث السبب",,,
"Receipt default stock location","الموقع الافتراضي لاستلام المخزون",,,
"Receipt stock move","حركة المخزون عند الاستلام",,,
"Recompute stock location lines","إعادة حساب أسطر مواقع المخزون",,,
"Ref.","المرجع",,,
"Refill Qty","إعادة تعبئة الكمية",,,
"Refill type","نوع إعادة التعبئة",,,
"Refresh the products net mass","تحديث الكتلة الصافية للمنتجات",,,
"Regime","النظام",,,
"Related tracking numbers","أرقام التتبع ذات الصلة",,,
"Rental loan leasing more than 24 months","تأجير القروض لأكثر من 24 شهرًا",,,
"Replacement of non returned goods","استبدال البضائع غير المعادة",,,
"Replacement of returned goods","استبدال البضائع المعادة",,,
"Reportings","التقارير",,,
"Reports","التقارير",,,
"Request completed","تم إكمال الطلب",,,
"Request reservation","طلب الحجز",,,
"Require to fill conformity for products ticked 'Control on Receipt'","يتطلب تعبئة بيانات المطابقة للمنتجات المحددة بـ 'التحكم عند الاستلام'",,,
"Require to fill the shipment information","يتطلب تعبئة معلومات الشحنة",,,
"Reservation requested","تم طلب الحجز",,,
"Reserved qty","الكمية المحجوزة",,,
"Return Surplus","إرجاع الفائض",,,
"Return of goods","إرجاع البضائع",,,
"Return surplus","إرجاع الفائض",,,
"Reversions","الاسترجاعات",,,
"Sale Qty by tracking","كمية المبيعات حسب التتبع",,,
"Sale price","سعر البيع",,,
"Sale tracking management","إدارة تتبع المبيعات",,,
"Sale value","قيمة البيع",,,
"Same company","نفس الشركة",,,
"Same from stock location and to stock location","نفس موقع المخزون من وإلى",,,
"Same manuf order","نفس أمر التصنيع",,,
"Same partner","نفس الشريك",,,
"Same trading name","نفس الاسم التجاري",,,
"Search","بحث",,,
"See stock details","عرض تفاصيل المخزون",,,
"See stock move lines","عرض أسطر حركة المخزون",,,
"Select format to Export","حدد تنسيق التصدير",,,
"Select products from location","حدد المنتجات من الموقع",,,
"Select tracking numbers","حدد أرقام التتبع",,,
"Selected move lines to add","تم اختيار أسطر الحركة للإضافة",,,
"Selected quantity","الكمية المختارة",,,
"Seller","البائع",,,
"Send email on stock move realization","إرسال بريد إلكتروني عند تنفيذ حركة المخزون",,,
"Send email on supplier arrival cancellation","إرسال بريد إلكتروني عند إلغاء وصول المورد",,,
"Send email when planning stock move","إرسال بريد إلكتروني عند تخطيط حركة المخزون",,,
"Send email when saving logistical form","إرسال بريد إلكتروني عند حفظ النموذج اللوجستي",,,
"Send notification","إرسال إشعار",,,
"Separate the shipment operations","فصل عمليات الشحن",,,
"Seq.","التسلسل",,,
"Sequence","التسلسل",,,
"Serial Nbr","رقم التسلسل",,,
"Ship/Receive all products","شحن/استلام جميع المنتجات",,,
"Shipment Mode","وضع الشحن",,,
"Shipment mode","وضع الشحن",,,
"Shipped date","تاريخ الشحن",,,
"Shipped qty","الكمية المشحونة",,,
"Shipping default stock location","الموقع الافتراضي للشحن في المخزون",,,
"Show Generated Stock Move","عرض حركة المخزون المتولدة",,,
"Show detailed stock","عرض تفاصيل المخزون",,,
"Show stock move lines","عرض أسطر حركة المخزون",,,
"Show stock move(s)","عرض حركة المخزون",,,
"Signatory user","المستخدم الموقع",,,
"Site","الموقع",,,
"Source and destination locations are empty","مواقع المصدر والوجهة فارغة",,,
"Source location","موقع المصدر",,,
"Special operations","عمليات خاصة",,,
"Special split","تقسيم خاص",,,
"Specify the barcode type by stock location","حدد نوع الباركود حسب موقع المخزون",,,
"Specify the barcode type by tracking number configuration","حدد نوع الباركود حسب إعداد رقم التتبع",,,
"Split","تقسيم",,,
"Split by tracking numbers","تقسيم حسب أرقام التتبع",,,
"Split by unit","تقسيم حسب الوحدة",,,
"Split in Qty of","تقسيم بالكمية",,,
"Split into 2","تقسيم إلى 2",,,
"Split into fulfilled line and unfulfilled one","تقسيم إلى سطر مكتمل وآخر غير مكتمل",,,
"Split quantity cannot be higher than real quantity.","لا يمكن أن تكون الكمية المقسمة أكبر من الكمية الحقيقية.",,,
"Split quantity cannot be negative.","لا يمكن أن تكون الكمية المقسمة سالبة.",,,
"Start","ابدأ",,,
"State","الحالة",,,
"Status","الحالة",,,
"Status must be planned or draft","يجب أن تكون الحالة مخططة أو مسودة",,,
"Status updated;","تم تحديث الحالة",,,
"Step","الخطوة",,,
"Stock","المخزون",,,
"Stock Batch","دفعة المخزون",,,
"Stock Correction","تصحيح المخزون",,,
"Stock Correction Reason","سبب تصحيح المخزون",,,
"Stock Correction Reasons","أسباب تصحيح المخزون",,,
"Stock Corrections","تصحيحات المخزون",,,
"Stock History","تاريخ المخزون",,,
"Stock Location","موقع المخزون",,,
"Stock Location Tree","شجرة مواقع المخزون",,,
"Stock Location content","محتوى موقع المخزون",,,
"Stock Locations","مواقع المخزون",,,
"Stock Locations content","محتويات مواقع المخزون",,,
"Stock Move","حركة المخزون",,,
"Stock Move Lines","أسطر حركة المخزون",,,
"Stock Move Origin","أصل حركة المخزون",,,
"Stock Moves","حركات المخزون",,,
"Stock Moves consumption historical","استهلاك حركات المخزون التاريخي",,,
"Stock Moves consumption planned","استهلاك حركات المخزون المخطط",,,
"Stock Moves historical","حركات المخزون التاريخية",,,
"Stock Moves planned","حركات المخزون المخططة",,,
"Stock Rules","قواعد المخزون",,,
"Stock batch","دفعة المخزون",,,
"Stock batches","دفعات المخزون",,,
"Stock config","إعدادات المخزون",,,
"Stock config (${ name })","إعدادات المخزون (${ name })",,,
"Stock configuration","تكوين المخزون",,,
"Stock configurations","تكوينات المخزون",,,
"Stock control","التحكم بالمخزون",,,
"Stock correction","تصحيح المخزون",,,
"Stock history","تاريخ المخزون",,,
"Stock history line","سطر تاريخ المخزون",,,
"Stock history lines","أسطر تاريخ المخزون",,,
"Stock location","موقع المخزون",,,
"Stock location barcode type","نوع الباركود لموقع المخزون",,,
"Stock location content","محتويات موقع المخزون",,,
"Stock location details","تفاصيل موقع المخزون",,,
"Stock location filters","مرشحات مواقع المخزون",,,
"Stock location is missing for these lines : %s","موقع المخزون مفقود لهذه الأسطر: %s",,,
"Stock location line","سطر موقع المخزون",,,
"Stock location line history","تاريخ سطر موقع المخزون",,,
"Stock location lines","أسطر موقع المخزون",,,
"Stock location lines by product","أسطر موقع المخزون حسب المنتج",,,
"Stock location template","قالب موقع المخزون",,,
"Stock location tree","شجرة موقع المخزون",,,
"Stock location value","قيمة موقع المخزون",,,
"Stock location value on form view","قيمة موقع المخزون في عرض النموذج",,,
"Stock location(s)","موقع(ات) المخزون",,,
"Stock locations","مواقع المخزون",,,
"Stock managed","إدارة المخزون",,,
"Stock management","إدارة المخزون",,,
"Stock move","حركة المخزون",,,
"Stock move content","محتوى حركة المخزون",,,
"Stock move information","معلومات حركة المخزون",,,
"Stock move line","سطر حركة المخزون",,,
"Stock move line filters","مرشحات سطر حركة المخزون",,,
"Stock move line is required on line %d.","سطر حركة المخزون مطلوب في السطر %d.",,,
"Stock move line quantity availability.","توفر كمية سطر حركة المخزون.",,,
"Stock move lines","أسطر حركة المخزون",,,
"Stock move lines to select","أسطر حركة المخزون للاختيار",,,
"Stock move printing settings","إعدادات طباعة حركة المخزون",,,
"Stock move with id %s successfully realized.","تم تنفيذ حركة المخزون برقم %s بنجاح.",,,
"Stock moves","حركات المخزون",,,
"Stock per day","المخزون لكل يوم",,,
"Stock reservation feature cannot be active when we are managing stock locations on stock move line.","لا يمكن تفعيل ميزة حجز المخزون عند إدارة مواقع المخزون على سطر حركة المخزون.",,,
"Stock rule","قاعدة المخزون",,,
"Stock rule information","معلومات قاعدة المخزون",,,
"Stock rules","قواعد المخزون",,,
"Stock rules created","تم إنشاء قواعد المخزون",,,
"Stock's movement's type undefined","نوع حركة المخزون غير محدد",,,
"StockLocation.accountingValue","StockLocation.accountingValue",,,
"StockLocation.code","StockLocation.code",,,
"StockLocation.date","StockLocation.date",,,
"StockLocation.detailsByStockLocation","StockLocation.detailsByStockLocation",,,
"StockLocation.location","StockLocation.location",,,
"StockLocation.locationAndSubLocationsTotalContent","StockLocation.locationAndSubLocationsTotalContent",,,
"StockLocation.locationFinancialData","StockLocation.locationFinancialData",,,
"StockLocation.locationTotalContent","StockLocation.locationTotalContent",,,
"StockLocation.locations","StockLocation.locations",,,
"StockLocation.productName","StockLocation.productName",,,
"StockLocation.purchaseValue","StockLocation.purchaseValue",,,
"StockLocation.qtyUnit","StockLocation.qtyUnit",,,
"StockLocation.saleValue","StockLocation.saleValue",,,
"StockLocation.stockLocationContent","StockLocation.stockLocationContent",,,
"StockLocation.total","StockLocation.total",,,
"StockLocation.totalAccountingValue","StockLocation.totalAccountingValue",,,
"StockLocation.totalPurchaseValue","StockLocation.totalPurchaseValue",,,
"StockLocation.totalSaleValue","StockLocation.totalSaleValue",,,
"StockLocation.totalWapValue","StockLocation.totalWapValue",,,
"StockLocation.unitValue","StockLocation.unitValue",,,
"StockLocation.wapValue","StockLocation.wapValue",,,
"StockMove.barcode","StockMove.barcode",,,
"StockMove.comments","StockMove.comments",,,
"StockMove.customer","StockMove.customer",,,
"StockMove.customerPartnerSeq","StockMove.customerPartnerSeq",,,
"StockMove.date","StockMove.date",,,
"StockMove.deliveryAddress","StockMove.deliveryAddress",,,
"StockMove.deliveryDetails","StockMove.deliveryDetails",,,
"StockMove.deliveryOrder","StockMove.deliveryOrder",,,
"StockMove.description","StockMove.description",,,
"StockMove.grossMass","StockMove.grossMass",,,
"StockMove.internalMove","StockMove.internalMove",,,
"StockMove.ispm","StockMove.ispm",,,
"StockMove.lotNoRef","StockMove.lotNoRef",,,
"StockMove.mass","StockMove.mass",,,
"StockMove.movePreparedBy","StockMove.movePreparedBy",,,
"StockMove.netMass","StockMove.netMass",,,
"StockMove.numOfPackages","StockMove.numOfPackages",,,
"StockMove.numOfPalettes","StockMove.numOfPalettes",,,
"StockMove.orderDate","StockMove.orderDate",,,
"StockMove.pickingOrder","StockMove.pickingOrder",,,
"StockMove.product","StockMove.product",,,
"StockMove.productionNote","StockMove.productionNote",,,
"StockMove.purchaseOrder","StockMove.purchaseOrder",,,
"StockMove.qtyUnit","StockMove.qtyUnit",,,
"StockMove.rackNbr","StockMove.rackNbr",,,
"StockMove.receivedBy","StockMove.receivedBy",,,
"StockMove.receptionOrder","StockMove.receptionOrder",,,
"StockMove.reference","StockMove.reference",,,
"StockMove.stockPreparedBy","StockMove.stockPreparedBy",,,
"StockMove.supplierPartnerSeq","StockMove.supplierPartnerSeq",,,
"StockMove.unitPrice","StockMove.unitPrice",,,
"StockMove.variant","StockMove.variant",,,
"Stocks","المخزونات",,,
"Store","تخزين",,,
"Store all / the rest","تخزين الكل / الباقي",,,
"Store products","تخزين المنتجات",,,
"Stored","تم التخزين",,,
"Stored product list","قائمة المنتجات المخزنة",,,
"Stored products","المنتجات المخزنة",,,
"Stored qty","الكمية المخزنة",,,
"Stored qty / Qty to store","الكمية المخزنة / الكمية المراد تخزينها",,,
"Successfully updated","تم التحديث بنجاح",,,
"Supplementary unit","الوحدة الإضافية",,,
"Supplier","المورد",,,
"Supplier Shipment Date","تاريخ شحن المورد",,,
"Supplier Shipment Ref","مرجع شحن المورد",,,
"Supplier arrival product qty","كمية وصول المنتج للمورد",,,
"Supplier arrivals","وصولات المورد",,,
"Supplier arrivals filters","مرشحات وصولات المورد",,,
"Supplier quality rating","تقييم جودة المورد",,,
"Supplier returns","إرجاعات المورد",,,
"Supplier virtual stock location","موقع المخزون الافتراضي للمورد",,,
"Team to alert","الفريق الذي سيتم تنبيهه",,,
"Text in certificate of conformity","النص في شهادة المطابقة",,,
"The move doesn't contain any product, do you wish to continue ?","الحركة لا تحتوي على أي منتج، هل ترغب في المتابعة؟",,,
"The partner's language is different from the current language. Description and product name are in :","لغة الشريك مختلفة عن اللغة الحالية. الوصف واسم المنتج باللغة:",,,
"The product %s have already been stored","المنتج %s تم تخزينه بالفعل",,,
"The product %s is missing a stock location (source or dest). Please make sure that the cart stock location and stock location in the product is filled.","المنتج %s يفتقد إلى موقع مخزون (المصدر أو الوجهة). يرجى التأكد من تعبئة موقع المخزون في العربة وفي المنتج.",,,
"The product is not available in the stock location source indicated (%s)","المنتج غير متوفر في موقع المخزون المصدر المحدد (%s)",,,
"The quantity by lot must be greater than 0","يجب أن تكون الكمية لكل دفعة أكبر من 0",,,
"The template to send message on realization is missing.","القالب لإرسال الرسالة عند التنفيذ مفقود.",,,
"The template to send message on save is missing.","القالب لإرسال الرسالة عند الحفظ مفقود.",,,
"The total net mass is higher than the total gross mass.","إجمالي الكتلة الصافية أعلى من إجمالي الكتلة الإجمالية.",,,
"The tracking number configuration quantity is equal to zero, it must be at least one.","كمية تكوين رقم التتبع تساوي صفر، يجب أن تكون على الأقل واحدة.",,,
"The type of cancel reason doesn't match with stock move","نوع سبب الإلغاء لا يتطابق مع حركة المخزون",,,
"The unit is missing on a stock location line","الوحدة مفقودة في سطر موقع المخزون",,,
"There is currently no such file in the specified folder or the folder may not exists.","لا يوجد حاليًا مثل هذا الملف في المجلد المحدد أو قد لا يكون المجلد موجودًا.",,,
"There is more than one line for same product with same tracking number.","هناك أكثر من سطر لنفس المنتج بنفس رقم التتبع.",,,
"There's already an existing storage, you must deactivate it first","يوجد تخزين موجود بالفعل، يجب إلغاء تنشيطه أولاً",,,
"There's no configured sequence for inventory for company","لا يوجد تسلسل مهيأ للجرد للشركة",,,
"There's no configured sequence for mass stock move for the company %s","لا يوجد تسلسل مهيأ لنقل المخزون الجماعي للشركة %s",,,
"There's no configured sequence for stock's delivery for the company %s","لا يوجد تسلسل مهيأ لتسليم المخزون للشركة %s",,,
"There's no configured sequence for stock's intern moves for the company %s","لا يوجد تسلسل مهيأ لحركات المخزون الداخلية للشركة %s",,,
"There's no configured sequence for stock's receptions for the company %s","لا يوجد تسلسل مهيأ لاستلامات المخزون للشركة %s",,,
"There's no configured sequence for tracking number for the product %s:%s","لا يوجد تسلسل مهيأ لرقم التتبع للمنتج %s:%s",,,
"There's no destination stock location selected for the stock's movement %s","لم يتم تحديد موقع مخزون الوجهة لحركة المخزون %s",,,
"There's no product in stock location.","لا يوجد منتج في موقع المخزون.",,,
"There's no source stock location selected for the stock's movement %s","لم يتم تحديد موقع مخزون المصدر لحركة المخزون %s",,,
"This batch will recompute stock location quantities and reset all WAP history lines, are you sure you want to continue ?","ستتم إعادة حساب كميات مواقع المخزون وإعادة تعيين جميع خطوط سجل WAP، هل أنت متأكد أنك تريد المتابعة؟",,,
"This field can have one of the following values (Purchase, Manufacturing, Inventory, Sale, Manual). The value is fixed when the tracking number is created.","يمكن أن يحتوي هذا الحقل على واحدة من القيم التالية (شراء، تصنيع، جرد، مبيعات، يدوي). يتم تثبيت القيمة عند إنشاء رقم التتبع.",,,
"This stock move will have a huge impact (more than","ستكون لهذه الحركة المخزنية تأثير كبير (أكثر من",,,
"Time before expiry (in days)","الوقت المتبقي قبل انتهاء الصلاحية (بالأيام)",,,
"Title","العنوان",,,
"Title of dimension name (0)","عنوان اسم البعد (0)",,,
"Title of dimension name (1)","عنوان اسم البعد (1)",,,
"Title of dimension name (2)","عنوان اسم البعد (2)",,,
"Title of dimension name (3)","عنوان اسم البعد (3)",,,
"To","إلى",,,
"To Date","إلى تاريخ",,,
"To address","إلى العنوان",,,
"To pick","للاختيار",,,
"To rack","إلى الرف",,,
"To stock location","إلى موقع المخزون",,,
"To store","للتخزين",,,
"Today","اليوم",,,
"Today Arrivals","الوصولات اليوم",,,
"Tolerance on WAP changes (%)","التسامح في تغييرات WAP (%)",,,
"Too many iterations while trying to generate stock move line with tracking numbers.","عدد كبير جدًا من التكرارات أثناء محاولة إنشاء سطر حركة المخزون بأرقام التتبع.",,,
"Tools","الأدوات",,,
"Total","الإجمالي",,,
"Total W.T.","إجمالي الوزن الصافي",,,
"Total gross mass","إجمالي الكتلة الإجمالية",,,
