"key","message","comment","context"
"MrpList.type","النوع في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpList.unit","الوحدة في قائمة تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.createdOn","تم الإنشاء في أسابيع تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.endDate","تاريخ الانتهاء في أسابيع تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.maxLevel","المستوى الأقصى في أسابيع تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.product","المنتج في أسابيع تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.stockLocation","موقع المخزون في أسابيع تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.title","العنوان في أسابيع تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.unit","الوحدة في أسابيع تخطيط متطلبات المواد (MRP)",,,
"MrpWeeks.week","الأسبوع في أسابيع تخطيط متطلبات المواد (MRP)",,,
"Name","الاسم",,,
"No default supplier is defined for the product %s","لم يتم تعريف مورد افتراضي للمنتج %s",,,
"No delivery stock move to generate for this purchase order","لا يوجد حركة مخزون تسليم لإنشائها لهذا الأمر الشرائي",,,
"No delivery stock move to generate for this sale order","لا يوجد حركة مخزون تسليم لإنشائها لهذا أمر البيع",,,
"No invoice was generated","لم يتم إنشاء أي فاتورة",,,
"No items have been selected.","لم يتم تحديد أي عناصر.",,,
"No proposal can be generated from these lines.","لا يمكن إنشاء أي اقتراحات من هذه الخطوط.",,,
"No stock location valid. Please uncheck the chosen stock location 'is not in MRP'.","لا يوجد موقع مخزون صالح. يرجى إلغاء تحديد موقع المخزون المختار 'غير موجود في تخطيط متطلبات المواد (MRP)'.",,,
"Not delivered","لم يتم التسليم",,,
"Not enough quantity are available for reservation for product %s (%s)","لا تتوفر كمية كافية للحجز للمنتج %s (%s)",,,
"Not invoiced","غير مفوتر",,,
"Note","ملاحظة",,,
"Number of Product per Accounting Family","عدد المنتجات لكل عائلة محاسبية",,,
"Number of Product per Category","عدد المنتجات لكل فئة",,,
"Number of days","عدد الأيام",,,
"OK","موافق",,,
"Offset in months","الإزاحة بالأشهر",,,
"One-off sale outgoing quantity","كمية البيع لمرة واحدة الصادرة",,,
"One-off sales","المبيعات لمرة واحدة",,,
"One-off sales excluded","استبعاد المبيعات لمرة واحدة",,,
"One-off sales included","تضمين المبيعات لمرة واحدة",,,
"One-off sales only","المبيعات لمرة واحدة فقط",,,
"Open sale order","فتح أمر بيع",,,
"Operation choice","اختيار العملية",,,
"Order %s","الطلب %s",,,
"Order invoicing report:","تقرير فواتير الطلب:",,,
"Order up to date","الطلب محدث",,,
"Order(s) processed","تمت معالجة الطلبات",,,
"Ordered by","مرتّب حسب",,,
"Origin","الأصل",,,
"Origin purchase order line","خط أمر الشراء الأصلي",,,
"Origin sale order line","خط أمر البيع الأصلي",,,
"Origins","الأصول",,,
"Out of stock","غير متوفر في المخزون",,,
"Outgoing quantity (One-off sale excluded)","الكمية الصادرة (باستثناء البيع لمرة واحدة)",,,
"Outgoing stock move invoicing report:","تقرير فواتير نقل المخزون الصادر:",,,
"PFP Status","حالة PFP",,,
"PO line","خط أمر الشراء",,,
"PO lines","خطوط أمر الشراء",,,
"Pack lines","خطوط العبوة",,,
"Parent Stock location","موقع المخزون الرئيسي",,,
"Parent line","الخط الرئيسي",,,
"Partial invoicing of outgoing stock move with tracking number activated is not supported.","لا يتم دعم الفوترة الجزئية لنقل المخزون الصادر عند تفعيل رقم التتبع.",,,
"Partially delivered","تم التوصيل جزئيًا",,,
"Partially invoiced","تمت الفوترة جزئيًا",,,
"Partner","الشريك",,,
"Partner is missing on stock move %s.","الشريك مفقود في حركة المخزون %s.",,,
"Payment condition","شرط الدفع",,,
"Payment mode","طريقة الدفع",,,
"Payment period (N days / Month)","فترة الدفع (عدد الأيام / الشهر)",,,
"Percentage","النسبة المئوية",,,
"Period","الفترة",,,
"Period type","نوع الفترة",,,
"Picking Order Info","معلومات طلب الالتقاط",,,
"Please configure a correct value for the sale order date used for reservation.","يرجى تكوين قيمة صحيحة لتاريخ أمر البيع المستخدم للحجز.",,,
"Please configure the advance payment account for the company %s","يرجى تكوين حساب الدفعة المقدمة للشركة %s",,,
"Please configure the advance payment product","يرجى تكوين المنتج للدفع المسبق",,,
"Please configure the sale order invoicing product","يرجى تكوين المنتج الخاص بفوترة أمر البيع",,,
"Please confirm the sale order before invoicing.","يرجى تأكيد أمر البيع قبل الفوترة.",,,
"Please do not enter negative quantity for reservation.","يرجى عدم إدخال كمية سالبة للحجز.",,,
"Please enter amount to invoice.","يرجى إدخال المبلغ للفوترة.",,,
"Please fill a quantity to invoice.","يرجى إدخال كمية للفوترة.",,,
"Please fill unit for product %s","يرجى تحديد الوحدة للمنتج %s",,,
"Please generate a stock move for this sale order before modifying allocated quantity.","يرجى إنشاء حركة مخزون لهذا الطلب قبل تعديل الكمية المخصصة.",,,
"Please select a forecasted invoice customer account in the accounting batch","يرجى تحديد حساب فاتورة العميل المتوقعة في دفعة المحاسبة",,,
"Please select a forecasted invoice supplier account in the accounting batch","يرجى تحديد حساب فاتورة المورد المتوقعة في دفعة المحاسبة",,,
"Please select an element to run calculation","يرجى تحديد عنصر لإجراء الحساب",,,
"Please select at least one line to generate a proposal.","يرجى تحديد سطر واحد على الأقل لإنشاء اقتراح.",,,
"Please uncheck picking order edited box from this stock move from Cust. Shipment to prepare menu entry.","يرجى إلغاء تحديد مربع تحرير طلب الالتقاط من هذه الحركة المخزنية من شحنة العميل إلى قائمة التحضير.",,,
"Please validate the purchase order before invoicing.","يرجى التحقق من صحة أمر الشراء قبل الفوترة.",,,
"Please, select a currency for the order %s","يرجى تحديد العملة للأمر %s",,,
"Please, select a supplier for the line %s","يرجى تحديد مورد للسطر %s",,,
"Print","طباعة",,,
"Printings","المطبوعات",,,
"Product","المنتج",,,
"Product Accounting Family","عائلة المنتج المحاسبية",,,
"Product Categories","فئات المنتجات",,,
"Product Category","فئة المنتج",,,
"Product Type","نوع المنتج",,,
"Product categories","فئات المنتجات",,,
"Product code","كود المنتج",,,
"Product families","عائلات المنتجات",,,
"Product is missing.","المنتج مفقود.",,,
"Product launches/withdrawal each month","إطلاق/سحب المنتج شهريًا",,,
"Product stock for %s is not enough for availability request","مخزون المنتج لـ %s غير كافٍ لطلب التوافر",,,
"Product type","نوع المنتج",,,
"Product type distribution","توزيع أنواع المنتجات",,,
"Products","المنتجات",,,
"Products DB 1","قاعدة بيانات المنتجات 1",,,
"Products Details","تفاصيل المنتجات",,,
"Products of %s have been added to your cart.","تمت إضافة منتجات %s إلى سلة التسوق الخاصة بك.",,,
"Project identically over the next few months","المشروع متطابق على مدار الأشهر القليلة القادمة",,,
"Projected Stock","المخزون المتوقع",,,
"Projected stock","المخزون المتوقع",,,
"Projection details","تفاصيل التوقع",,,
"Projection' s number of month","عدد أشهر التوقع",,,
"Proposal","اقتراح",,,
"Proposal generated","تم إنشاء الاقتراح",,,
"Proposal select","اختيار الاقتراح",,,
"Proposals have been generated successfully.","تم إنشاء الاقتراحات بنجاح.",,,
"Purchase","الشراء",,,
"Purchase order","أمر الشراء",,,
"Purchase order line","خط أمر الشراء",,,
"Purchase order or sale order without estimated delivery date and manufacturing order without planned date. In this case, we use the MRP start date (today)","أمر الشراء أو أمر البيع بدون تاريخ تسليم مقدر وأمر التصنيع بدون تاريخ مخطط. في هذه الحالة، نستخدم تاريخ بدء تخطيط متطلبات المواد (MRP) (اليوم).",,,
"Purchase order quantity","كمية أمر الشراء",,,
"Purchase order without incoming stock move","أمر الشراء بدون حركة مخزون واردة",,,
"Purchase order without stock move","أمر الشراء بدون حركة مخزون",,,
"Purchase orders","أوامر الشراء",,,
"Purchase proposal","اقتراح الشراء",,,
"Purchase proposal / Estimated delivery","اقتراح الشراء / التسليم المقدر",,,
"Purchases orders","أوامر الشراء",,,
"Qty","الكمية",,,
"Qty to invoice","الكمية المطلوب فوترتها",,,
"Quantity cannot be lower than already delivered quantity on detail line %s.","لا يمكن أن تكون الكمية أقل من الكمية التي تم تسليمها بالفعل على السطر التفصيلي %s.",,,
"Quantity requested","الكمية المطلوبة",,,
"Real Qty","الكمية الفعلية",,,
"Real quantity","الكمية الفعلية",,,
"Real/Current Quantity","الكمية الفعلية/الحالية",,,
"Receipt state","حالة الاستلام",,,
"Ref","المرجع",,,
"Refill Qty","إعادة تعبئة الكمية",,,
"Refresh availability","تحديث التوافر",,,
"Related to","مرتبط بـ",,,
"Related to select","مرتبط بالاختيار",,,
"Remaining Qty","الكمية المتبقية",,,
"Requested reserved qty","الكمية المحجوزة المطلوبة",,,
"Requested reserved quantity","الكمية المحجوزة المطلوبة",,,
"Reservation date time","تاريخ ووقت الحجز",,,
"Reserved quantity","الكمية المحجوزة",,,
"Reserved stock move lines","خطوط حركة المخزون المحجوزة",,,
"Result","النتيجة",,,
"Results","النتائج",,,
"Run calculation","تشغيل الحساب",,,
"Run stock batch","تشغيل دفعة المخزون",,,
"SO line","خط أمر البيع",,,
"SOL to invoice","خط أمر البيع للفوترة",,,
"Sale","البيع",,,
"Sale Batch","دفعة البيع",,,
"Sale Order","أمر البيع",,,
"Sale forecast","توقعات البيع",,,
"Sale order","أمر البيع",,,
"Sale order date used for stock reservation","تاريخ أمر البيع المستخدم لحجز المخزون",,,
"Sale order line","خط أمر البيع",,,
"Sale order line to invoice","خط أمر البيع للفوترة",,,
"Sale order lines to invoice","خطوط أوامر البيع للفوترة",,,
"Sale order quantity","كمية أمر البيع",,,
"Sale order without outgoing stock move","أمر البيع بدون حركة مخزون صادرة",,,
"Sale order without stock move","أمر البيع بدون حركة مخزون",,,
"Sale orders","أوامر البيع",,,
"SaleOrder","أمر البيع",,,
"Sales","المبيعات",,,
"Sales forecast","توقعات المبيعات",,,
"Sales order","أمر المبيعات",,,
"Sales order line","خط أمر المبيعات",,,
"Sales orders","أوامر المبيعات",,,
"Salesperson or buyer set","تعيين مندوب المبيعات أو المشتري",,,
"Salespersons","مندوبو المبيعات",,,
"Schedule","الجدولة",,,
"Security delay (days)","تأخير الأمان (بالأيام)",,,
"See projected stock","عرض المخزون المتوقع",,,
"See stock history","عرض سجل المخزون",,,
"Select","تحديد",,,
"Select all","تحديد الكل",,,
"Select supplier partner","تحديد شريك المورد",,,
"Select the lines to invoice","تحديد الخطوط للفوترة",,,
"Select timetables to invoice","تحديد الجداول الزمنية للفوترة",,,
"Sequence to order MRP results","تسلسل ترتيب نتائج تخطيط متطلبات المواد (MRP)",,,
"Settings","الإعدادات",,,
"Shipment Mode","وضع الشحن",,,
"Shipment mode","وضع الشحن",,,
"Shipping cost","تكلفة الشحن",,,
"Show Total","عرض الإجمالي",,,
"Specific package","حزمة محددة",,,
"Standard","قياسي",,,
"Standard delay (days)","التأخير القياسي (بالأيام)",,,
"Status","الحالة",,,
"Status considered to filter a purchase order","الحالة المعتمدة لتصفية أمر الشراء",,,
"Status considered to filter a sale order","الحالة المعتمدة لتصفية أمر البيع",,,
"Statuses to take into account","الحالات التي يجب أخذها في الاعتبار",,,
"Stock","المخزون",,,
"Stock Locations content","محتوى مواقع المخزون",,,
"Stock details","تفاصيل المخزون",,,
"Stock details by product","تفاصيل المخزون حسب المنتج",,,
"Stock history","تاريخ المخزون",,,
"Stock history line","خط تاريخ المخزون",,,
"Stock history updated","تم تحديث تاريخ المخزون",,,
"Stock location","موقع المخزون",,,
"Stock location is missing for the purchase order %s.","موقع المخزون مفقود لأمر الشراء %s.",,,
"Stock location is missing for the sale order %s.","موقع المخزون مفقود لأمر البيع %s.",,,
"Stock location lines by product","خطوط مواقع المخزون حسب المنتج",,,
"Stock move","حركة المخزون",,,
"Stock move %s has already been invoiced.","تمت فوترة حركة المخزون %s بالفعل.",,,
"Stock move %s has been created for this sale order","تم إنشاء حركة المخزون %s لهذا أمر البيع",,,
"Stock move has already been totally invoiced.","تمت فوترة حركة المخزون بالكامل بالفعل.",,,
"Stock move line","خط حركة المخزون",,,
"Stock move lines","خطوط حركة المخزون",,,
"Stock move lines concerned by cut off","خطوط حركة المخزون المعنية بالإيقاف",,,
"Stock move type","نوع حركة المخزون",,,
"Stock move(s) processed","تمت معالجة حركة(ات) المخزون",,,
"Stock moves","حركات المخزون",,,
"Stock reservation feature cannot be active when we are managing stock locations on stock move line.","لا يمكن تنشيط ميزة حجز المخزون عند إدارة مواقع المخزون على خط حركة المخزون.",,,
"StockMove","حركة المخزون",,,
"Subscription","الاشتراك",,,
"Subscription invoice generation report :","تقرير إنشاء فاتورة الاشتراك :",,,
"Subscription invoices to validate","فواتير الاشتراك للتحقق",,,
"Suppl. Invoices","فواتير الموردين",,,
"Supplier","المورد",,,
"Supplier Arrivals","وصولات المورد",,,
"Supplier Stock Move to invoice","حركة مخزون المورد للفوترة",,,
"Supplier arrival","وصول المورد",,,
"Supplier arrivals management","إدارة وصولات المورد",,,
"Supply chain config","تهيئة سلسلة التوريد",,,
"Supply chain config (${ name })","تهيئة سلسلة التوريد (${ name })",,,
"Supply chain configuration","تكوين سلسلة التوريد",,,
"Supply chain configurations","تهيئات سلسلة التوريد",,,
"Supply method","طريقة التوريد",,,
"Supplychain Batch","دفعة سلسلة التوريد",,,
"Supplychain batch","دفعة سلسلة التوريد",,,
"Supplychain batch filters","مرشحات دفعة سلسلة التوريد",,,
"Supplychain batches","دفعات سلسلة التوريد",,,
"Take in account sub categories","أخذ الفئات الفرعية في الاعتبار",,,
"Tax number is missing on partner %s.","رقم الضريبة مفقود على الشريك %s.",,,
"Team","الفريق",,,
"Template","القالب",,,
"Terminate purchase order on Receipt","إنهاء أمر الشراء عند الاستلام",,,
"Terminate sale order on delivery","إنهاء أمر البيع عند التسليم",,,
"Terms","الشروط",,,
"The allocated quantity must not be greater than the quantity in the stock move line %s.","يجب ألا تكون الكمية المخصصة أكبر من الكمية في خط حركة المخزون %s.",,,
"The amount to be spread over the timetable is negative.","المبلغ المطلوب توزيعه على الجدول الزمني سلبي.",,,
"The amount to invoice is superior than the amount in the sale order","المبلغ المطلوب فوترته أكبر من المبلغ في أمر البيع",,,
"The client is required and must be the same for all sale orders","العميل مطلوب ويجب أن يكون نفسه لجميع أوامر البيع",,,
"The company %s doesn't have any configured sequence for MRP","الشركة %s ليس لديها تسلسل مهيأ لتخطيط متطلبات المواد (MRP)",,,
"The company is required and must be the same for all purchase orders","الشركة مطلوبة ويجب أن تكون نفسها لجميع أوامر الشراء",,,
"The company is required and must be the same for all sale orders","الشركة مطلوبة ويجب أن تكون نفسها لجميع أوامر البيع",,,
"The component %s - %s not referenced in the product list selected for the MRP or in the BOM route should be added on the MRP.","المكون %s - %s غير مشار إليه في قائمة المنتجات المحددة لتخطيط متطلبات المواد (MRP) أو في مسار قائمة المواد (BOM) ويجب إضافته إلى تخطيط متطلبات المواد.",,,
"The currency is required and must be the same for all sale orders","العملة مطلوبة ويجب أن تكون نفسها لجميع أوامر البيع",,,
"The customer account is blocked because he has late payments.","تم حظر حساب العميل بسبب وجود مدفوعات متأخرة.",,,
"The delivered partner must be the same for all sale orders","الشريك الذي تم التسليم إليه يجب أن يكون نفسه لجميع أوامر البيع",,,
"The execution of MRP n°%s is now finished, you can click above to see the results.","تم الآن الانتهاء من تنفيذ تخطيط متطلبات المواد (MRP) رقم %s، يمكنك النقر أعلاه لرؤية النتائج.",,,
"The fiscal position must be the same for all purchase orders","الوضع المالي يجب أن يكون نفسه لجميع أوامر الشراء",,,
"The fiscal position must be the same for all sale orders","الوضع المالي يجب أن يكون نفسه لجميع أوامر البيع",,,
"The following stock move lines are already associated with invoice lines and can not be splitted: %s","خطوط حركة المخزون التالية مرتبطة بالفعل بخطوط الفواتير ولا يمكن تقسيمها: %s",,,
"The incoterm must be the same for all sale orders","شروط التجارة الدولية (Incoterm) يجب أن تكون نفسها لجميع أوامر البيع",,,
"The incoterm must be the same for all sale orders.","شروط التجارة الدولية (Incoterm) يجب أن تكون نفسها لجميع أوامر البيع.",,,
"The invoice for the stock move %s can't be generated because of this following error : %s","لا يمكن إنشاء الفاتورة لحركة المخزون %s بسبب الخطأ التالي: %s",,,
"The invoice has already been generated.","تم إنشاء الفاتورة بالفعل.",,,
"The invoice's unit is different and inconvertible into the stock move's unit.","وحدة الفاتورة مختلفة وغير قابلة للتحويل إلى وحدة حركة المخزون.",,,
"The invoiced partner must be the same for all sale orders","الشريك الذي تم إصدار الفاتورة له يجب أن يكون نفسه لجميع أوامر البيع",,,
"The process was stopped because the computation is stuck in an infinite loop. This error can be caused by a configuration error.","تم إيقاف العملية لأن الحساب عالق في حلقة لا نهائية. قد يكون هذا الخطأ ناتجًا عن خطأ في التهيئة.",,,
"The product will not be delivered in time for its corresponding need.","لن يتم تسليم المنتج في الوقت المناسب لحاجته المقابلة.",,,
"The proposal has been successfully generated.","تم إنشاء الاقتراح بنجاح.",,,
"The purchase order %s invoiced amount cannot be greater than its total amount.","لا يمكن أن يكون المبلغ المفوتر لأمر الشراء %s أكبر من إجماليه.",,,
"The purchase order trading name is missing.","اسم التداول لأمر الشراء مفقود.",,,
"The quantity to invoice is greater than the quantity in the purchase order","الكمية المطلوب فوترتها أكبر من الكمية في أمر الشراء",,,
"The quantity to invoice is greater than the quantity in the sale order","الكمية المطلوب فوترتها أكبر من الكمية في أمر البيع",,,
"The requested quantity must be greater than the already delivered quantity.","يجب أن تكون الكمية المطلوبة أكبر من الكمية التي تم تسليمها بالفعل.",,,
"The requested quantity must not be greater than the quantity in the stock move line %s.","يجب ألا تكون الكمية المطلوبة أكبر من الكمية في خط حركة المخزون %s.",,,
"The reservation for an availability requested stock move cannot be lowered.","لا يمكن تخفيض الحجز لحركة مخزون مطلوبة متاحة.",,,
"The sale order %s invoiced amount cannot be greater than its total amount.","لا يمكن أن يكون المبلغ المفوتر لأمر البيع %s أكبر من إجماليه.",,,
"The stock location must be the same for all purchase orders.","موقع المخزون يجب أن يكون نفسه لجميع أوامر الشراء.",,,
"The supplier is required and must be the same for all purchase orders","المورد مطلوب ويجب أن يكون نفسه لجميع أوامر الشراء",,,
"The trading name must be the same for all purchase orders.","اسم التداول يجب أن يكون نفسه لجميع أوامر الشراء.",,,
"The trading name must be the same for all sale orders.","اسم التداول يجب أن يكون نفسه لجميع أوامر البيع.",,,
"There are no lines to invoice","لا توجد خطوط للفوترة",,,
"There are no selected timetables to invoice","لا توجد جداول زمنية محددة للفوترة",,,
"There is a configuration error, partner %s is its own parent.","هناك خطأ في التهيئة، الشريك %s هو والده نفسه.",,,
"There is at least one draft or planned stock move for this sale order.","هناك على الأقل حركة مخزون واحدة في حالة مسودة أو مخطط لها لهذا أمر البيع.",,,
"There is no analytic distribution on %s purchase order line","لا يوجد توزيع تحليلي على خط أمر الشراء %s",,,
"There is no analytic distribution on %s sale order line","لا يوجد توزيع تحليلي على خط أمر البيع %s",,,
"There is no supplier catalog for this product","لا يوجد كتالوج مورد لهذا المنتج",,,
"This operation cannot be performed. Available stock for product %s: %s, stock needed: %s. Please deallocate.","لا يمكن تنفيذ هذه العملية. المخزون المتاح للمنتج %s: %s، المخزون المطلوب: %s. يرجى إلغاء التخصيص.",,,
"This product is not stock managed.","هذا المنتج غير مُدار بالمخزون.",,,
"This quantity is not available in stock.","هذه الكمية غير متوفرة في المخزون.",,,
"This stock move needs to be invoiced manually, manual intervention is needed : %s","هذه الحركة المخزنية تحتاج إلى فوترة يدوية، يلزم تدخل يدوي: %s",,,
"Timetable","الجدول الزمني",,,
"Timetable computation date","تاريخ حساب الجدول الزمني",,,
"Timetable template","قالب الجدول الزمني",,,
"Timetable template line","خط قالب الجدول الزمني",,,
"Timetable template lines","خطوط قالب الجدول الزمني",,,
"Timetable templates","قوالب الجدول الزمني",,,
"Timetables","الجداول الزمنية",,,
"Title","العنوان",,,
"To Date","حتى تاريخ",,,
"To process","للمعالجة",,,
"To stock location","إلى موقع المخزون",,,
"Tools","الأدوات",,,
"Total price","السعر الإجمالي",,,
"Total subscription invoice(s) generated: %s","إجمالي الفواتير الاشتراكية التي تم إنشاؤها: %s",,,
"Tracking number","رقم التتبع",,,
"Tracking number search","بحث رقم التتبع",,,
"Type","النوع",,,
"Undo manual changes","إلغاء التغييرات اليدوية",,,
"Unit","الوحدة",,,
"Unit price","سعر الوحدة",,,
"Unit prices in A.T.I and in W.T. can't be mix","أسعار الوحدات في A.T.I و W.T لا يمكن دمجها",,,
"Unselect","إلغاء التحديد",,,
"Unsupported product type: %s","نوع المنتج غير المدعوم: %s",,,
"Update stock history","تحديث سجل المخزون",,,
"Update stock history configuration","تحديث إعدادات سجل المخزون",,,
"Usable on purchase order","قابل للاستخدام في أمر الشراء",,,
"Usable on sale order","قابل للاستخدام في أمر البيع",,,
"Used Credit","الائتمان المستخدم",,,
"Used stock rules","قواعد المخزون المستخدمة",,,
"Validate","التحقق",,,
"Validate scenario","التحقق من السيناريو",,,
"Validated for invoicing","تم التحقق منه للفوترة",,,
"Validation step for invoicing outgoing stock move","خطوة التحقق لفوترة حركة المخزون الصادرة",,,
"Verify product stock before availabity request","التحقق من مخزون المنتج قبل طلب التوافر",,,
"Warn delay from supplier","تحذير من تأخير المورد",,,
"When this is active, sale order will be automatically set to 'Order completed' status once 'Amount invoiced W.T.' is equal to 'Total W.T.'. This will happen when all invoices linked to the sale order get to status 'Ventilated'","عند تفعيل هذا الخيار، سيتم تعيين أمر البيع تلقائيًا إلى حالة 'مكتمل' بمجرد أن يصبح 'المبلغ المفوتر W.T.' مساويًا لـ 'الإجمالي W.T.'. سيحدث ذلك عندما تصل جميع الفواتير المرتبطة بأمر البيع إلى حالة 'موزعة'",,,
"You cannot request reservation with a negative quantity.","لا يمكنك طلب حجز بكمية سالبة.",,,
"You have to choose at least one incoming stock move","يجب عليك اختيار حركة مخزون واردة واحدة على الأقل",,,
"You have to choose at least one outgoing stock move","يجب عليك اختيار حركة مخزون صادرة واحدة على الأقل",,,
"You must configure a Supply chain module for the company %s","يجب تكوين وحدة سلسلة التوريد للشركة %s",,,
"You must configure a cancel reason on changing sale order in app supplychain.","يجب تكوين سبب الإلغاء عند تغيير أمر البيع في تطبيق سلسلة التوريد.",,,
"You must configure a forecasted invoiced customer account for the company %s","يجب تكوين حساب العميل المتوقع فوترة للشركة %s",,,
"You must configure a forecasted invoiced supplier account for the company %s","يجب تكوين حساب المورد المتوقع فوترة للشركة %s",,,
"You must configure an advance payment account for the company %s","يجب تكوين حساب الدفع المسبق للشركة %s",,,
"You must configure an supplier advance payment account for the company %s","يجب تكوين حساب الدفع المسبق للمورد للشركة %s",,,
"com.axelor.apps.supplychain.job.BillSubJob","com.axelor.apps.supplychain.job.BillSubJob",,,
"com.axelor.apps.supplychain.job.MrpJob","com.axelor.apps.supplychain.job.MrpJob",,,
"com.axelor.apps.supplychain.service.batch.SupplychainBatchService","com.axelor.apps.supplychain.service.batch.SupplychainBatchService",,,
"day(s)","يوم(أيام)",,,
"declarationOfExchanges.ProductType.product","declarationOfExchanges.ProductType.product",,,
"declarationOfExchanges.Service","declarationOfExchanges.Service",,,
"mainPanel","لوحة رئيسية",,,
"month(s)","شهر(أشهر)",,,
"value:Deliver for","القيمة: تسليم لـ",,,
"value:Delivered by","القيمة: تم التسليم بواسطة",,,
"value:Invoice for","القيمة: فاتورة لـ",,,
"value:Invoiced by","القيمة: مفوتر بواسطة",,,
"value:Order for","القيمة: طلب لـ",,,
"value:Ordered by","القيمة: تم الطلب بواسطة",,,
"value:Supplychain","القيمة: سلسلة التوريد",,,
