"key","message","comment","context"
"MpsCharge.endMonth","نهاية الشهر",,,
"MpsCharge.startMonth","شهر البدء",,,
"MpsCharge.title","رسوم جدولة الإنتاج الرئيسية",,,
"Multi Level MO tree","شجرة أوامر التصنيع متعددة المستويات",,,
"Multi level MO","أمر تصنيع متعدد المستويات",,,
"Multi-level planning","التخطيط متعدد المستويات",,,
"Multiple same product selected in the list.","تم اختيار عدة منتجات متشابهة في القائمة.",,,
"Name","الاسم",,,
"Name cannot be null for prod process line to generate. Please correct on prod process line configurator id : %s.","لا يمكن أن يكون الاسم فارغًا لخط عملية الإنتاج للتوليد. يرجى تصحيح معرف مكون خط عملية الإنتاج: %s.",,,
"Name cannot be null for prod process to generate. Please correct on prod process configurator id : %s.","لا يمكن أن يكون الاسم فارغًا لعملية الإنتاج للتوليد. يرجى تصحيح معرف مكون عملية الإنتاج: %s.",,,
"Nb of digits for BOM quantities","عدد الأرقام لكميات فاتورة المواد",,,
"Need / MPS","الحاجة / MPS",,,
"Need / Manufacturing order","الحاجة / أمر التصنيع",,,
"Need / Manufacturing proposal","الحاجة / اقتراح التصنيع",,,
"Next overhaul date","تاريخ الصيانة التالي",,,
"No continuity","لا توجد استمرارية",,,
"No period has been found in the weekly planning for the manufacturing operation %s","لم يتم العثور على فترة في التخطيط الأسبوعي لعملية التصنيع %s",,,
"No product has been found with these filters. Please check your filters","لم يتم العثور على أي منتج بهذه الفلاتر. يرجى التحقق من الفلاتر.",,,
"No production order could be generated. Make sure that everything has been configured correctly. Reminder: check that the order lines that should be produced have their supply method set to 'produce' and that the chosen BoM has a production process associated to it.","لا يمكن إنشاء أمر إنتاج. تأكد من أن كل شيء تم تكوينه بشكل صحيح. تذكير: تحقق من أن خطوط الطلب التي يجب إنتاجها تم تعيين طريقة التوريد لها إلى 'إنتاج' وأن قائمة المواد المختارة لها عملية إنتاج مرتبطة بها.",,,
"Normal","عادي",,,
"Not enough quantity in products to consume for: %s","لا توجد كمية كافية في المنتجات للاستهلاك لـ: %s",,,
"Not manage stock","عدم إدارة المخزون",,,
"Note","ملاحظة",,
"Number of components","عدد المكونات",,,
"Number of phases","عدد المراحل",,,
"Number of stations","عدد المحطات",,,
"OK","حسنًا",,,
"Obsolete","عفا عليه الزمن",,,
"On Finish","عند الانتهاء",,,
"On Start","عند البدء",,,
"On operations start","عند بدء العمليات",,,
"On order start","عند بدء الطلب",,,
"One production order per sale order","أمر إنتاج واحد لكل طلب بيع",,,
"Open MO tree","فتح شجرة أمر التصنيع",,,
"Open tree","فتح الشجرة",,,
"Operating duration","مدة التشغيل",,,
"Operation","عملية",,,
"Operation Continuity","استمرارية العملية",,,
"Operation name","اسم العملية",,,
"OperationOrder.associatedBOM","قائمة المواد المرتبطة",,,
"OperationOrder.cycleDuration","مدة الدورة",,,
"OperationOrder.dates","التواريخ",,,
"OperationOrder.delayBtwCycle","التأخير بين الدورات",,,
"OperationOrder.machine","الآلة",,,
"OperationOrder.num","رقم",,,
"OperationOrder.operationDetails","تفاصيل العملية",,,
"OperationOrder.operationName","اسم العملية",,,
"OperationOrder.operationRequirement","متطلبات العملية",,,
"OperationOrder.plannedEndDate","تاريخ الانتهاء المخطط",,,
"OperationOrder.plannedStartDate","تاريخ البدء المخطط",,,
"OperationOrder.productBarcode","باركود المنتج",,,
"OperationOrder.productName","اسم المنتج",,,
"OperationOrder.productToPrepare","المنتجات المطلوب تحضيرها (للاستهلاك)",,,
"OperationOrder.qty","الكمية",,,
"OperationOrder.realEndDate","تاريخ الانتهاء الفعلي",,,
"OperationOrder.realStartDate","تاريخ البدء الفعلي",,,
"OperationOrder.relatedToProduct","قائمة المواد المرتبطة",,,
"OperationOrder.startTime","وقت البدء",,,
"OperationOrder.stopTime","وقت التوقف",,,
"OperationOrder.title","عملية التصنيع",,,
"OperationOrder.trackingNumber","رقم التتبع",,,
"Operations","العمليات",,,
"Operations Finished late","العمليات التي انتهت متأخرة",,,
"Operations In Progress","العمليات قيد التنفيذ",,,
"Operations In Standby","العمليات في وضع الاستعداد",,,
"Operations to invoice","العمليات المطلوب فاتورتها",,,
"Operations with difference","العمليات ذات الفروقات",,,
"Optional","اختياري",,,
"Optional continuity","استمرارية اختيارية",,,
"Options","الخيارات",,,
"Origin","الأصل",,,
"Origin manuf order","أمر التصنيع الأصلي",,,
"Original bill of materials","قائمة المواد الأصلية",,,
"Original production process","عملية الإنتاج الأصلية",,,
"Out manuf order","أمر التصنيع الصادر",,,
"Outgoing moves","الحركات الصادرة",,,
"Outgoing outsource stock move","حركة مخزون الاستعانة الخارجية الصادرة",,,
"Outsourcable","قابل للاستعانة بمصادر خارجية",,,
"Outsource declaration","إعلان الاستعانة بمصادر خارجية",,,
"Outsourced","تم الاستعانة بمصادر خارجية",,,
"Outsourcing","الاستعانة بمصادر خارجية",,,
"Outsourcing duration","مدة الاستعانة بمصادر خارجية",,,
"Outsourcing location","موقع الاستعانة بمصادر خارجية",,,
"Outsourcing manuf order","أمر تصنيع الاستعانة بمصادر خارجية",,,
"Outsourcing order","أمر الاستعانة بمصادر خارجية",,,
"Outsourcing purchase order cannot be generated. Please fill hours unit in your base configuration.","لا يمكن إنشاء أمر شراء للاستعانة بمصادر خارجية. يرجى تعبئة وحدة الساعات في التكوين الأساسي.",,,
"Outsourcing purchase orders","أوامر شراء الاستعانة بمصادر خارجية",,,
"Outsourcing stock location","موقع مخزون الاستعانة بمصادر خارجية",,,
"Outsourcing stock moves","حركات مخزون الاستعانة بمصادر خارجية",,,
"Parent","الأصل",,,
"Parent BOM","قائمة المواد الأصل",,,
"Parent Configurator BOM","قائمة المواد الأصلية للمكوّن",,,
"Parent MO","أمر التصنيع الأصل",,,
"Parents are not set properly in input file.","لم يتم تعيين الأصول بشكل صحيح في ملف الإدخال.",,,
"Partial Finish","إنهاء جزئي",,,
"Partial end of production","نهاية جزئية للإنتاج",,,
"Partner","الشريك",,,
"Pause","إيقاف مؤقت",,,
"Per Cycle","لكل دورة",,,
"Per hour","لكل ساعة",,,
"Per piece","لكل قطعة",,,
"Period","الفترة",,,
"Periods generation assistant","مساعد إنشاء الفترات",,,
"Permanent","دائم",,,
"Permanent manufacturing orders","أوامر التصنيع الدائمة",,,
"Personalized","مخصص",,,
"Personalized BoM","قائمة المواد المخصصة",,,
"Personalized production processes","عمليات الإنتاج المخصصة",,,
"Phase","مرحلة",,,
"Phases","مراحل",,,
"Picture","صورة",,,
"Plan","خطة",,,
"Plan only product with missing quantities","تخطيط المنتج ذو الكميات المفقودة فقط",,,
"Plan selected orders and discard others","تخطيط الطلبات المحددة وإهمال الأخرى",,,
"Planification","التخطيط",,,
"Planned","مخطط",,,
"Planned MOs","أوامر التصنيع المخططة",,,
"Planned Operations","العمليات المخططة",,,
"Planned Qty","الكمية المخططة",,,
"Planned dates","التواريخ المخططة",,,
"Planned end","نهاية مخططة",,,
"Planned end date","تاريخ النهاية المخطط",,,
"Planned end with waiting date t","نهاية مخططة مع تاريخ الانتظار",,,
"Planned human duration (hhh:mm:ss)","المدة البشرية المخططة (ساعات:دقائق:ثواني)",,,
"Planned machine duration (hhh:mm:ss)","المدة المخططة للآلة (ساعات:دقائق:ثواني)",,,
"Planned operations","العمليات المخططة",,,
"Planned outsourced operations","العمليات المخططة بالاستعانة بمصادر خارجية",,,
"Planned start","البداية المخططة",,,
"Planned start date","تاريخ البدء المخطط",,,
"Planning and performances","التخطيط والأداء",,,
"Planning duration (hhh:mm:ss)","مدة التخطيط (ساعات:دقائق:ثواني)",,,
"Please enter valid forecast date","يرجى إدخال تاريخ توقع صالح",,,
"Please fill the machine in the workcenter %s.","يرجى تعبئة الماكينة في مركز العمل %s.",,,
"Please fill the work center group with at least one work center.","يرجى تعبئة مجموعة مراكز العمل مع مركز عمل واحد على الأقل.",,,
"Please fill unit for product %s.","يرجى تعبئة الوحدة للمنتج %s.",,,
"Please select an element (a product, a product category or a product family) to run calculation","يرجى تحديد عنصر (منتج، فئة منتج، أو عائلة منتج) لإجراء الحساب",,,
"Please select at least one MO","يرجى اختيار أمر تصنيع واحد على الأقل",,,
"Please select at least one product in the list.","يرجى تحديد منتج واحد على الأقل من القائمة.",,,
"Please select more than one manufacturing order.","يرجى تحديد أكثر من أمر تصنيع واحد.",,,
"Please select something to merge","يرجى تحديد شيء للدمج",,,
"Please take the following comment into account:","يرجى أخذ التعليق التالي في الاعتبار:",,,
"Pre-fill operations","العمليات المعبأة مسبقًا",,,
"Previous cost","التكلفة السابقة",,,
"Previous_cost","التكلفة السابقة",,,
"Previsional charge per machine (% per day)","العبء التقديري لكل آلة (% يوميًا)",,,
"Previsional charge rate (% per day)","معدل العبء التقديري (% يوميًا)",,,
"Previsional charge rate (% per hour)","معدل العبء التقديري (% لكل ساعة)",,,
"Previsional charge rate by machine (% per day)","معدل العبء التقديري لكل آلة (% يوميًا)",,,
"Previsional charge rate by machine (% per hour)","معدل العبء التقديري لكل آلة (% لكل ساعة)",,,
"Print","طباعة",,,
"Print Production Process","طباعة عملية الإنتاج",,,
"Print planned date on manuf order ?","طباعة التاريخ المخطط على أمر التصنيع؟",,,
"Print the cost sheet line detail","طباعة تفاصيل سطر ورقة التكلفة",,,
"Printings","الطباعة",,,
"Priority","الأولوية",,,
"Prod process","عملية الإنتاج",,,
"Prod process currently has no status","عملية الإنتاج ليس لديها حالة حاليًا",,,
"Prod process filters","مرشحات عملية الإنتاج",,,
"Prod process is already on draft status","عملية الإنتاج بالفعل في حالة المسودة",,,
"Prod process line","خط عملية الإنتاج",,,
"Prod process template","نموذج عملية الإنتاج",,,
"ProdProcess.company","الشركة",,,
"ProdProcess.consumeProduct","استهلاك المنتجات",,,
"ProdProcess.description","الوصف",,,
"ProdProcess.isOperation","إدارة المنتجات المستهلكة في المراحل",,,
"ProdProcess.isOutsourcing","الاستعانة بمصادر خارجية",,,
"ProdProcess.label","التسمية",,,
"ProdProcess.name","التسمية",,,
"ProdProcess.outsourcing","الاستعانة بمصادر خارجية",,,
"ProdProcess.phases","المراحل",,,
"ProdProcess.priority","الأولوية",,,
"ProdProcess.producedProductStockLocation","موقع مخزون المنتج المصنع",,,
"ProdProcess.product","المنتج",,,
"ProdProcess.qty","الكمية",,,
"ProdProcess.stockLocation","موقع المنتج",,,
"ProdProcess.unit","الوحدة",,,
"ProdProcess.workcenter","مركز العمل",,,
"Produced product","المنتج المصنع",,,
"Produced products","المنتجات المصنعة",,,
"Produced quantity","الكمية المنتجة",,,
"Produced ratio","نسبة الإنتاج",,,
"Producible qty","الكمية القابلة للإنتاج",,,
"Product","المنتج",,,
"Product approval","اعتماد المنتج",,,
"Product approvals","اعتمادات المنتج",,,
"Product cannot be null for prod product to generate. Please correct on prod product configurator id : %s.","لا يمكن أن يكون المنتج فارغًا لإنشاء منتج تصنيع. يرجى التصحيح على معرف مكوّن المنتج: %s.",,,
"Product categories","فئات المنتج",,,
"Product families","عائلات المنتج",,,
"Product sub-types","الأنواع الفرعية للمنتج",,,
"Product_code","رمز المنتج",,,
"Product_name","اسم المنتج",,,
"Production","الإنتاج",,,
"Production & manufacturing Orders","أوامر الإنتاج والتصنيع",,,
"Production Batch","دفعة الإنتاج",,,
"Production and cost settings","إعدادات الإنتاج والتكلفة",,,
"Production batch","دفعة الإنتاج",,,
"Production batch filters","مرشحات دفعة الإنتاج",,,
"Production batches","دفعات الإنتاج",,,
"Production config","إعدادات الإنتاج",,,
"Production config (${ name })",,,
"Production configuration","تهيئة الإنتاج",,,
"Production configurations","تهيئات الإنتاج",,,
"Production note","ملاحظة الإنتاج",,,
"Production order","أمر الإنتاج",,,
"Production order filters","مرشحات أمر الإنتاج",,,
"Production order generated","تم إنشاء أمر الإنتاج",,,
"Production order management from sale order","إدارة أمر الإنتاج من أمر البيع",,,
"Production order wizard","معالج أمر الإنتاج",,,
"Production orders","أوامر الإنتاج",,,
"Production orders closed","أوامر الإنتاج المغلقة",,,
"Production process","عملية الإنتاج",,,
"Production process configurator","مكوّن عملية الإنتاج",,,
"Production processes","عمليات الإنتاج",,,
"Production stock location","موقع مخزون الإنتاج",,,
"Production stock locations","مواقع مخزون الإنتاج",,,
"Production virtual stock location","موقع المخزون الافتراضي للإنتاج",,,
"Production waste","نفايات الإنتاج",,,
"Production's order created","تم إنشاء أمر الإنتاج",,,
"Production.productStandard","المعيار",,,
"Productions orders","أوامر الإنتاج",,,
"Products","المنتجات",,,
"Products Wastes","نفايات المنتجات",,,
"Products for generated purchase order","المنتجات لأمر الشراء المُنشأ",,,
"Products to consume","المنتجات للاستهلاك",,,
"Products to produce","المنتجات المطلوب إنتاجها",,,
"Public Holiday Planning","تخطيط العطلات الرسمية",,,
"Purchase currency is missing for product %s, please configure it.","عملة الشراء مفقودة للمنتج %s، يرجى تكوينها.",,,
"Purchase orders","أوامر الشراء",,,
"Qty","الكمية",,,
"Qty cannot be null for prod product to generate. Please correct on prod product configurator id : %s.","لا يمكن أن تكون الكمية فارغة لإنشاء منتج التصنيع. يرجى التصحيح على معرف مكوّن المنتج: %s.",,,
"Quantity","الكمية",,,
"Quantity Wasted per Product","الكمية المهدورة لكل منتج",,,
"Quantity successfully updated.","تم تحديث الكمية بنجاح.",,,
"Rate","المعدل",,,
"Rate type","نوع المعدل",,,
"Ratio","النسبة",,,
"Raw material requirement","متطلبات المواد الخام",,,
"Raw material requirement filters","مرشحات متطلبات المواد الخام",,,
"RawMaterialRequirement.available","متاح في المخزون",,,
"RawMaterialRequirement.company","الشركة",,,
"RawMaterialRequirement.from","من",,,
"RawMaterialRequirement.manufOrder","أمر التصنيع",,,
"RawMaterialRequirement.missingQuantity","الكمية المفقودة",,,
"RawMaterialRequirement.neededQuantity","الكمية المطلوبة",,,
"RawMaterialRequirement.product","المنتج",,,
"RawMaterialRequirement.stockLocation","موقع المخزون",,,
"RawMaterialRequirement.stockLocations","مواقع المخزون",,,
"RawMaterialRequirement.title","متطلبات المواد الخام",,,
"RawMaterialRequirement.to","إلى",,,
"Real","فعلي",,,
"Real Qty","الكمية الفعلية",,,
"Real dates","التواريخ الفعلية",,,
"Real duration (hh:mm:ss)","المدة الفعلية (ساعات:دقائق:ثواني)",,,
"Real end","النهاية الفعلية",,,
"Real end date","تاريخ الانتهاء الفعلي",,,
"Real operations","العمليات الفعلية",,,
"Real production","الإنتاج الفعلي",,,
"Real sales","المبيعات الفعلية",,,
"Real start","البداية الفعلية",,,
"Real start date","تاريخ البدء الفعلي",,,
"Real stock","المخزون الفعلي",,,
"Real/Current Quantity","الكمية الفعلية/الحالية",,,
"Reportings","التقارير",,,
"Reports","التقارير",,,
"Request reservation","طلب الحجز",,,
"Request successfully completed","تم إكمال الطلب بنجاح",,,
"Reserve all","حجز الكل",,,
"Residual product","المنتج المتبقي",,,
"Residual products","المنتجات المتبقية",,,
"Residual products default stock location","الموقع الافتراضي لمخزون المنتجات المتبقية",,,
"Resources","الموارد",,,
"Result","النتيجة",,,
"Result Tree","شجرة النتائج",,,
"Result grid","شبكة النتائج",,,
"Results","النتائج",,,
"Resume","استئناف",,,
"Return to draft status","العودة إلى حالة المسودة",,,
"Revaluation at actual prices","إعادة التقييم بالأسعار الفعلية",,,
"Run calculation","تنفيذ الحساب",,,
"S&OP","التخطيط والمبيعات",,,
"S&OP/MPS","التخطيط والمبيعات/جدولة الإنتاج الرئيسية",,,
"SO line","سطر أمر البيع",,,
"SO lines","أسطر أوامر البيع",,,
"SOP Real Values Batch","دفعة القيم الفعلية للتخطيط والمبيعات",,,
"Sale order","أمر البيع",,,
"Sale order line","سطر أمر البيع",,,
"Sale orders","أوامر البيع",,,
"Sales and Operations Planning","التخطيط للمبيعات والعمليات",,,
"Sales and Operations Planning Line","سطر تخطيط المبيعات والعمليات",,,
"Sales and Operations Planning Lines","أسطر تخطيط المبيعات والعمليات",,,
"Sales and Operations Planning Lines generation","إنشاء أسطر تخطيط المبيعات والعمليات",,,
"Sales forecast","توقعات المبيعات",,,
"Saturday hours","ساعات العمل يوم السبت",,,
"Scheduling","الجدولة",,,
"Send email when manufacturing order finished","إرسال بريد إلكتروني عند الانتهاء من أمر التصنيع",,,
"Send email when manufacturing order partially finished","إرسال بريد إلكتروني عند الانتهاء الجزئي من أمر التصنيع",,,
"Sequence","التسلسل",,,
"Sequence by workshop","التسلسل حسب ورشة العمل",,,
"Serial Nbr","الرقم التسلسلي",,,
"Serial Number","الرقم التسلسلي",,,
"Set to zero","تعيين إلى الصفر",,,
"Show all requirements ?","عرض جميع المتطلبات؟",,,
"Show requirements by MO","عرض المتطلبات حسب أمر التصنيع",,,
"Sop","التخطيط والمبيعات",,,
"Split by tracking numbers","التقسيم حسب أرقام التتبع",,,
"Standby","وضع الاستعداد",,,
"Start","ابدأ",,,
"Start Month","شهر البدء",,,
"Start and End Month should not be more than 12 months apart","يجب ألا يزيد الفرق بين شهر البدء والانتهاء عن 12 شهرًا",,,
"Start date","تاريخ البدء",,,
"Started","بدأ",,,
"Started by","بدأ بواسطة",,,
"Starting Date","تاريخ البدء",,,
"Starting duration (hhh:mm:ss)","مدة البدء (ساعات:دقائق:ثواني)",,,
"Status","الحالة",,,
"Status considered to filter a manuf order","الحالة المعتمدة لتصفية أمر التصنيع",,,
"Status select","تحديد الحالة",,,
"Stock Location","موقع المخزون",,,
"Stock location","موقع المخزون",,,
"Stock location for produced product","موقع المخزون للمنتج المصنع",,,
"Stock location for residual products","موقع المخزون للمنتجات المتبقية",,,
"Stock location is missing from the prod process and in the component default stock location in stock configuration.","موقع المخزون مفقود من عملية الإنتاج وفي موقع المخزون الافتراضي للمكونات في إعداد المخزون.",,,
"Stock move","حركة المخزون",,,
"Stock move in","حركة المخزون الواردة",,,
"Stock move line","سطر حركة المخزون",,,
"Stock move lines","أسطر حركة المخزون",,,
"Stock move realize order select","تحديد أمر تنفيذ حركة المخزون",,,
"Stock moves","حركات المخزون",,,
"Stock moves in","حركات المخزون الواردة",,,
"Stock moves out","حركات المخزون الصادرة",,,
"Stopped by","تم الإيقاف بواسطة",,,
"Stopping Date","تاريخ التوقف",,,
"Subcontracting service","خدمة التعاقد الخارجي",,,
"Subcontractor","المقاول الفرعي",,,
"Subcontractors","المقاولون الفرعيون",,,
"Subcontractors arrivals","وصول المقاولين الفرعيين",,,
"Subcontractors deliveries","تسليمات المقاولين الفرعيين",,,
"Subtract the product residuals cost on Cost sheet","طرح تكلفة بقايا المنتج في ورقة التكلفة",,,
"Sunday hours","ساعات العمل يوم الأحد",,,
"Supplier RFQ/PO","طلب عرض سعر/أمر شراء المورد",,,
"Supply method for manufacturing orders","طريقة التوريد لأوامر التصنيع",,,
"Surcharge","الرسوم الإضافية",,,
"The bill of materials %s has been generated","تم إنشاء قائمة المواد %s",,,
"The condition formula to generate the bill of material returns null value or is not consistent. Please correct on configurator BOM id : %s.","ترجع صيغة الشرط لإنشاء قائمة المواد قيمة فارغة أو غير متسقة. يرجى التصحيح على معرف مكوّن قائمة المواد: %s.",,,
"The condition formula to generate the prod process line returns null value or is not consistent. Please correct on prod process line configurator id : %s.","ترجع صيغة الشرط لإنشاء خط عملية الإنتاج قيمة فارغة أو غير متسقة. يرجى التصحيح على معرف مكوّن خط عملية الإنتاج: %s.",,,
"The condition formula to generate the prod product returns null value or is not consistent. Please correct on prod product configurator id : %s.","ترجع صيغة الشرط لإنشاء منتج التصنيع قيمة فارغة أو غير متسقة. يرجى التصحيح على معرف مكوّن منتج التصنيع: %s.",,,
"The formula script to fill the checkbox manage consumed products on phases returns null value or is not consistent. Please correct on prod process configurator id : %s.","ترجع صيغة النص البرمجي لملء مربع الاختيار الخاص بإدارة المنتجات المستهلكة في المراحل قيمة فارغة أو غير متسقة. يرجى التصحيح على معرف مكوّن عملية الإنتاج: %s.",,,
"The formula script to fill the name returns null value. Please correct on prod process configurator id : %s.","ترجع صيغة النص البرمجي لملء الاسم قيمة فارغة. يرجى التصحيح على معرف مكوّن عملية الإنتاج: %s.",,,
"The formula script to fill the name returns null value. Please correct on prod process line configurator id : %s.","ترجع صيغة النص البرمجي لملء الاسم قيمة فارغة. يرجى التصحيح على معرف مكوّن خط عملية الإنتاج: %s.",,,
"The formula script to fill the product returns null value. Please correct on prod product configurator id : %s.","ترجع صيغة النص البرمجي لملء المنتج قيمة فارغة. يرجى التصحيح على معرف مكوّن منتج التصنيع: %s.",,,
"The formula script to fill the qty returns null value. Please correct on prod product configurator id : %s.","ترجع صيغة النص البرمجي لملء الكمية قيمة فارغة. يرجى التصحيح على معرف مكوّن منتج التصنيع: %s.",,,
"The formula script to fill the unit returns null value. Please correct on prod product configurator id : %s.","ترجع صيغة النص البرمجي لملء الوحدة قيمة فارغة. يرجى التصحيح على معرف مكوّن منتج التصنيع: %s.",,,
"The formula script to fill the work center returns null value. Please correct on prod process line configurator id : %s.","ترجع صيغة النص البرمجي لملء مركز العمل قيمة فارغة. يرجى التصحيح على معرف مكوّن خط عملية الإنتاج: %s.",,,
"The last manufacturing operation planned end date will overflow beyond the manuf order planned end date, do you wish to continue?","سيتجاوز تاريخ نهاية العملية التصنيعية المخططة تاريخ نهاية أمر التصنيع المخطط، هل ترغب في المتابعة؟",,,
"The manuf order couldn't be generated for the product %s. Please fill a company on the linked BOM.","تعذر إنشاء أمر التصنيع للمنتج %s. يرجى تعبئة الشركة في قائمة المواد المرتبطة.",,,
"The manufacturing operation is already finished and cannot be moved.","تم الانتهاء من العملية التصنيعية بالفعل ولا يمكن نقلها.",,,
"The manufacturing order planned for %s can not be planned before today's date. Please adjust it. (Used date time %s)","لا يمكن تخطيط أمر التصنيع المخطط لـ %s قبل تاريخ اليوم. يرجى تعديله. (التاريخ والوقت المستخدم %s)",,,
"The manufacturing order was canceled.","تم إلغاء أمر التصنيع.",,,
"The merge must concern only manufacturing orders with Draft or Planned status, with the same products and same workshop stock location and with all bill of materials compatibles.","يجب أن يشمل الدمج فقط أوامر التصنيع التي تحمل حالة مسودة أو مخططة، والتي تحتوي على نفس المنتجات ونفس موقع مخزون ورشة العمل ومع جميع قوائم المواد المتوافقة.",,,
"The merge must concern only manufacturing orders with Draft or Planned status, with the same products and with all bill of materials compatibles.","يجب أن يشمل الدمج فقط أوامر التصنيع التي تحمل حالة مسودة أو مخططة، والتي تحتوي على نفس المنتجات ومع جميع قوائم المواد المتوافقة.",,,
"The outsourcing receipt stock location is missing from the stock config","موقع مخزون استلام الاستعانة الخارجية مفقود من إعداد المخزون",,,
"The period cannot exceed 20 days","لا يمكن أن تتجاوز الفترة 20 يومًا",,,
"The planned end date is inferior to the actual date","تاريخ النهاية المخطط أصغر من التاريخ الفعلي",,,
"The produced product stock location is missing in the prod process","موقع مخزون المنتج المصنع مفقود في عملية الإنتاج",,,
"The product %s is not in the bill of materials related to this production process","المنتج %s غير موجود في قائمة المواد المتعلقة بعملية الإنتاج هذه",,,
"The product cost cannot be changed because the product cost type is not manual","لا يمكن تغيير تكلفة المنتج لأن نوع تكلفة المنتج ليس يدويًا",,,
"The production process and the bill of material must be applicable","يجب أن تكون عملية الإنتاج وقائمة المواد قابلة للتطبيق",,,
"The quantity of the bill of material %s is equal to zero.","كمية قائمة المواد %s تساوي صفرًا.",,,
"The result formula of '%s' in configurator prod process '%s' could not be converted in a Stock location, please verify the formula.","تعذر تحويل الصيغة الحسابية لـ '%s' في مكوّن عملية الإنتاج '%s' إلى موقع مخزون، يرجى التحقق من الصيغة.",,,
"The system found a loop in your bill of materials, please correct concerned data","اكتشف النظام حلقة متكررة في قائمة المواد الخاصة بك، يرجى تصحيح البيانات المعنية",,,
"The template to send message for manufacturing order is missing.","نموذج إرسال الرسائل لأمر التصنيع مفقود.",,,
"The time the machine starts before it can be used.","الوقت الذي تحتاجه الماكينة لتشغيلها قبل أن تكون قابلة للاستخدام.",,,
"The unit of the bill of material %s is missing. Please correct it.","الوحدة في قائمة المواد %s مفقودة. يرجى تصحيحها.",,,
"There currently is a ${difference} ${currency?.symbol?:currency?.name} difference between your total forecast and the S&OP forecast. Proceed?","يوجد حاليًا فرق قدره ${difference} ${currency?.symbol?:currency?.name} بين إجمالي التوقعات الخاصة بك وتوقعات التخطيط والمبيعات (S&OP). هل تريد المتابعة؟",,,
"There is no applicable bill of materials for %s","لا توجد قائمة مواد قابلة للتطبيق لـ %s",,,
"There no's defined nomenclature for product %s (%s)","لم يتم تحديد التسمية للمنتج %s (%s)",,,
"There's no configured sequence for fabrication's orders","لا يوجد تسلسل مكوّن لأوامر التصنيع",,,
"There's no configured sequence for production's orders","لا يوجد تسلسل مكوّن لأوامر الإنتاج",,,
"This bill of materials already has the following versions : <br/>%s And these versions may also have ones. Do you still wish to create a new one ?","تحتوي قائمة المواد هذه بالفعل على الإصدارات التالية : <br/>%s وقد تحتوي هذه الإصدارات على إصدارات أخرى أيضًا. هل لا تزال ترغب في إنشاء إصدار جديد؟",,,
"This config allows to automatically fill the deliveries from the finished products of the manufacturing orders.","يتيح هذا التكوين تعبئة عمليات التسليم تلقائيًا من المنتجات النهائية لأوامر التصنيع.",,,
"This production process already has the following versions : <br/> %s And these versions may also have ones. Do you still wish to create a new one ?","تحتوي عملية الإنتاج هذه بالفعل على الإصدارات التالية : <br/> %s وقد تحتوي هذه الإصدارات على إصدارات أخرى أيضًا. هل لا تزال ترغب في إنشاء إصدار جديد؟",,,
"This workflow is not supported for manufacturing operation status.","سير العمل هذا غير مدعوم لحالة عملية التصنيع.",,,
"Thursday hours","ساعات العمل يوم الخميس",,,
"Time before next operation","الوقت قبل العملية التالية",,,
"Time before the next operation of the same manufacturing order.","الوقت قبل العملية التالية لنفس أمر التصنيع.",,,
"Time between two cycles. This is the time to wait until the end of a cycle to start a new cycle.","الوقت بين دورتين. هذا هو الوقت اللازم للانتظار حتى نهاية دورة لبدء دورة جديدة.",,,
"Time between two operations (hhh:mm:ss)","الوقت بين عمليتين (ساعات:دقائق:ثواني)",,,
"Time between two operations. This is the time to wait until the end of an operation to start a new one within the work center.","الوقت بين عمليتين. هذا هو الوقت اللازم للانتظار حتى انتهاء عملية لبدء عملية جديدة داخل مركز العمل.",,,
"Time difference (Minutes)","فرق الوقت (بالدقائق)",,,
"Time difference per manufacturing order","فرق الوقت لكل أمر تصنيع",,,
"To","إلى",,,
"To Date","إلى تاريخ",,,
"To consume manuf order","استهلاك أمر التصنيع",,,
"To consume operation order","استهلاك أمر العملية",,,
"To consume prod process line","استهلاك خط عملية الإنتاج",,,
"To consume products","استهلاك المنتجات",,,
"To produce manuf order","إنتاج أمر التصنيع",,,
"Too many days","عدد أيام أكثر من اللازم",,,
"Too many iterations when searching for children bills of materials. Please check for bill of materials being in its own component list.","عدد كبير جدًا من التكرارات عند البحث عن قوائم مواد فرعية. يرجى التحقق من أن قائمة المواد ليست مدرجة في قائمتها الخاصة.",,,
"Too many recursive calls to create the bill of materials.","عدد كبير جدًا من الاستدعاءات التكرارية لإنشاء قائمة المواد.",,,
"Too many recursive calls to import the bill of material configurator.","عدد كبير جدًا من الاستدعاءات التكرارية لاستيراد مكوّن قائمة المواد.",,,
"Tool","أداة",,,
"Tool Information","معلومات الأداة",,,
"Tools","الأدوات",,,
"Total Planned Duration","إجمالي المدة المخططة",,,
"Total Real Duration","إجمالي المدة الفعلية",,,
"Total forecast","إجمالي التوقع",,,
"Total hours","إجمالي الساعات",,,
"Total lead time duration","إجمالي مدة المهلة",,,
"Total price","إجمالي السعر",,,
"Tracking number","رقم التتبع",,,
"Tracking number search","البحث عن رقم التتبع",,,
"Trading name","الاسم التجاري",,,
"Tuesday hours","ساعات العمل يوم الثلاثاء",,,
"Type","النوع",,,
"Type select","تحديد النوع",,,
"Type select icon","رمز تحديد النوع",,,
"Undo manual changes","التراجع عن التغييرات اليدوية",,,
"Unit","الوحدة",,,
